"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"2",0,1,886,6,1,2,"f431658",1,1
"3",1,0,528,2,1,2,"f431658",2,1
"4",0,0,365,2,2,2,"f431658",3,1
"5",1,1,459,5,5,2,"f431658",4,1
"6",0,1,651,3,1,2,"f431658",5,1
"7",1,1,298,1,1,2,"f431658",6,1
"8",0,1,401,5,1,2,"f431658",7,1
"9",1,1,366,4,4,2,"f431658",8,1
"10",1,1,370,3,3,2,"f431658",9,1
"11",1,0,493,1,4,2,"f431658",10,1
"12",0,0,383,6,6,2,"f431658",11,1
"13",0,1,911,2,1,2,"f431658",12,1
"14",0,1,331,1,6,2,"f431658",13,1
"15",0,0,432,6,6,2,"f431658",14,1
"16",1,1,364,2,2,2,"f431658",15,1
"17",1,1,341,4,4,2,"f431658",16,1
"18",1,0,409,1,3,2,"f431658",17,1
"19",1,1,314,1,1,2,"f431658",18,1
"20",1,1,1107,3,3,2,"f431658",19,1
"21",1,1,372,5,5,2,"f431658",20,1
"22",0,1,597,4,1,2,"f431658",21,1
"23",0,1,391,5,1,2,"f431658",22,1
"24",0,0,1939,3,3,2,"f431658",23,1
"25",1,1,457,4,4,2,"f431658",24,1
"26",0,1,1115,3,1,2,"f431658",25,1
"27",0,1,462,1,4,2,"f431658",26,1
"28",1,1,937,6,6,2,"f431658",27,1
"29",0,0,571,5,5,2,"f431658",28,1
"30",0,1,362,1,6,2,"f431658",29,1
"31",1,1,531,2,2,2,"f431658",30,1
"32",0,1,460,5,1,2,"f431658",31,1
"33",1,1,851,1,1,2,"f431658",32,1
"34",1,0,565,1,2,2,"f431658",33,1
"35",0,0,578,2,2,2,"f431658",34,1
"36",1,0,647,1,3,2,"f431658",35,1
"37",0,1,365,1,4,2,"f431658",36,1
"38",0,1,525,2,1,2,"f431658",37,1
"39",0,1,617,1,6,2,"f431658",38,1
"40",1,1,360,1,1,2,"f431658",39,1
"41",1,0,344,5,1,2,"f431658",40,1
"42",0,0,338,5,5,2,"f431658",41,1
"43",1,1,394,3,3,2,"f431658",42,1
"44",1,1,747,4,4,2,"f431658",43,1
"45",1,1,439,6,6,2,"f431658",44,1
"46",1,1,408,1,1,2,"f431658",45,1
"47",1,1,339,2,2,2,"f431658",46,1
"48",1,0,433,2,1,2,"f431658",47,1
"49",1,1,1026,3,3,2,"f431658",48,1
"50",1,1,1237,5,5,2,"f431658",49,1
"51",1,0,411,3,1,2,"f431658",50,1
"52",0,1,672,6,1,2,"f431658",51,1
"53",1,0,394,4,1,2,"f431658",52,1
"54",1,1,626,6,6,2,"f431658",53,1
"55",0,0,754,4,4,2,"f431658",54,1
"56",1,0,1318,5,1,2,"f431658",55,1
"57",1,0,777,1,5,2,"f431658",56,1
"58",0,1,476,1,4,2,"f431658",57,1
"59",1,1,798,5,5,2,"f431658",58,1
"60",1,0,804,1,6,2,"f431658",59,1
"61",1,1,678,6,6,2,"f431658",60,1
"62",0,0,826,4,4,2,"f431658",61,1
"63",1,0,498,3,1,2,"f431658",62,1
"64",0,0,634,2,2,2,"f431658",63,1
"65",1,1,398,3,3,2,"f431658",64,1
"66",0,0,389,1,1,2,"f431658",65,1
"67",0,1,335,2,1,2,"f431658",66,1
"68",0,0,683,6,6,2,"f431658",67,1
"69",1,0,408,1,3,2,"f431658",68,1
"70",1,0,332,1,2,2,"f431658",69,1
"71",1,1,785,2,2,2,"f431658",70,1
"72",0,1,369,1,6,2,"f431658",71,1
"73",1,1,1364,4,4,2,"f431658",72,1
"74",0,0,838,3,3,2,"f431658",73,1
"75",0,1,371,1,5,2,"f431658",74,1
"76",1,1,465,1,1,2,"f431658",75,1
"77",0,1,1285,4,1,2,"f431658",76,1
"78",0,0,1017,5,5,2,"f431658",77,1
"210",1,1,1332,2,2,2,"132b1f4",1,1
"310",1,1,471,3,3,2,"132b1f4",2,1
"410",1,0,348,4,1,2,"132b1f4",3,1
"510",1,1,535,5,5,2,"132b1f4",4,1
"610",0,1,426,3,1,2,"132b1f4",5,1
"79",1,0,369,2,1,2,"132b1f4",6,1
"81",1,1,414,6,6,2,"132b1f4",7,1
"91",1,0,371,1,5,2,"132b1f4",8,1
"101",1,1,437,4,4,2,"132b1f4",9,1
"111",0,1,628,1,6,2,"132b1f4",10,1
"121",0,0,478,1,1,2,"132b1f4",11,1
"131",1,0,301,6,1,2,"132b1f4",12,1
"141",1,0,309,2,1,2,"132b1f4",13,1
"151",0,1,277,1,5,2,"132b1f4",14,1
"161",1,1,621,4,4,2,"132b1f4",15,1
"171",1,1,381,5,5,2,"132b1f4",16,1
"181",1,1,404,3,3,2,"132b1f4",17,1
"191",1,0,419,3,1,2,"132b1f4",18,1
"201",0,0,363,2,2,2,"132b1f4",19,1
"211",1,0,298,1,4,2,"132b1f4",20,1
