"","Gender","Age","Ethnicity","Race","SubID"
"1","M",30,"NHL","W","f431658"
"2","F",27,"NHL","W","132b1f4"
"3","F",22,"NHL","W","1d3a28a"
"4","F",32,"NHL","W","1273cfc"
"5","F",21,"NHL","W","13d9a1d"
"6","M",20,"NHL","M","1584d36"
"7","M",32,"NHL","W","1cc4275"
"8","F",NA,"NHL","W","1539ca4"
"9","F",28,"NHL","AA","7c3b1e8"
"10","M",20,"NHL","W","1566a9e"
"11","F",30,"HL","W","14ee05a"
"12","M",28,"NHL","W","1dc7147"
"13","F",28,"NHL","W","516e367"
"14","F",32,"NHL","W","1273cfc"
"15","M",22,"NHL","W","760cd77"
"16","F",22,"NHL","W","1d3a28a"
"17","F",32,"HL","W","1a3a265"
"18","F",23,"NHL","W","13c1598"
"19","F",27,"NHL","M","14fe1df"
"20","M",34,"NHL","W","1ea4c3b"
"21","M",34,"NHL","W","11a31fc"
"22","M",22,"NHL","W","04dc77b"
"23","F",34,"NHL","AA","166ecb9"
"24","M",18,"NHL","W","130763f"
"25","F",28,NA,NA,"1140ee1"
"26","F",32,"NHL","W","1273cfc"
"27","M",19,"NHL","A","1fd534d"
"28","M",18,"NHL","W","1ecf704"
"29","F",29,"NHL","W","159df8c"
"30","F",32,"NHL","W","1d9ee98"
"31","F",26,"NHL","AA","11c37ec"
"32","F",30,"NHL","O","1e3708e"
"33","M",19,"NHL","A","14fb62f"
"34","F",29,"NHL","W","1926fa0"
"35","F",21,"NHL","W",""
"36","F",18,"NHL","M","139cce8"
"37","F",32,"NHL","W","1273cfc"
"38","M",25,"NHL","W","12ce948"
"39","F",32,"NHL","W","1273cfc"
