"","post_surve","prolificID","SubID","confirm_code"
"1","lowerrightportion","573128f3070de6000f431658","f431658","0Of1mpmM.txt"
"2","Therewasachunknearthebottomrightoftheobjectthatwouldbebigger/smallerorwider/thinner.Ididn'tnoticeituntilround2.","5baa75020d24ad000132b1f4","132b1f4","1hlwSS1Y.txt"
"3","Thedifferencewasalwaysthatshapeontheobjectthatwasonthebottomrightside.","590eb4006d77630001d3a28a","1d3a28a","1jOJnLP7.txt"
"4","Thebottomrightcornershapewasdifferent","5b4b59fe3905740001273cfc","1273cfc","2bgmqiUX.txt"
"5","Theblockintheupperleftsectionoftheobjectwasdifferentinsize.","5b04e8e9a496b300013d9a1d","13d9a1d","376TsxC8.txt"
"6","thedarkergraysectiononthelowerright","5bb09ecf6322c50001584d36","1584d36","52o6VARC.txt"
"7","Thetinyedgeofthedarkpieceontheupperleft.","5bbf2cd1e7e9a70001cc4275","1cc4275","5ycMfpek.txt"
"8","thetwofrontrocks","5aee768eda09e40001539ca4","1539ca4","6KYakbi9.txt"
"9","ThedarkergreyshadowyendsneartheedgesoftherockformationsontheobjectandIthinktheshapeofthelargerrockformationontheupperpartoftheobject.","5753701af52b330007c3b1e8","7c3b1e8","6zuVpHPT.txt"
"10","Thetoppart.Smallblackthing.","5bb22fe6321bd10001566a9e","1566a9e","84m08ID0.txt"
"11","Thetoppartwasdifferent,sometimesithadablockdotattheendorsomethinglikescratch.","5b91cbd3e6bf1000014ee05a","14ee05a","a7nbDSzc.txt"
"12","Triangularpieceinthemiddlekeptchangingsizes","5a94ca1a873cda0001dc7147","1dc7147","aSIbHRln.txt"
"13","Thesmallershapeatthetophadacornerthatwouldeitherbedarkornot.","55b3ea0afdf99b3fd516e367","516e367","dKzn27Mi.txt"
"14","Thebottomrightcornershapewasdifferent","5b4b59fe3905740001273cfc","1273cfc","dYdbsJzd.txt"
"15","Thethingthatstuckoutinthebottomleftcornerhadatriangleinitthatchangedshapebetweenpairs","55650260fdf99b76e760cd77","760cd77","EIA50WMu.txt"
"16","Thedifferencewasalwaysthatshapeontheobjectthatwasonthebottomrightside.","590eb4006d77630001d3a28a","1d3a28a","EzcjbZWZ.txt"
"17","shadow","5b33ce040670a50001a3a265","1a3a265","FadgFkul.txt"
"18","I'mconvincedtherewerenodifferences","5b10776be9270900013c1598","13c1598","G7QoH44w.txt"
"19","Theparttothefarrightwastheonethatchangeswithrespecttosize,shadingandshadowangles.","5b9ee842d2887a00014fe1df","14fe1df","GCJ2rmBl.txt"
"20","Thebottomparthadadifferentsizebump","59014a56baa70f0001ea4c3b","1ea4c3b","gwqjmIdL.txt"
"21","Thecolorwaseitherlighterordarker","5929ec666c835800011a31fc","11a31fc","h2hR7Q5R.txt"
"22","Thepiecestickingoutofthetophadslightlydifferentsurfaces","53da581cfdf99b2d904dc77b","04dc77b","HEyBc8B8.txt"
"23","Theshadowsononeofthepieceswereeitherthin,medium,orthick.","56429e51942576001166ecb9","166ecb9","hiNE5m2y.txt"
"24","thedarkgrayoutcroppingonthebottomrightwasallInoticedthatchangedoverthetrials.","5b9eb09c9bf53d000130763f","130763f","iaxMMOUz.txt"
"25","thedarkergreyonthefarthestright","5ba3ad629624180001140ee1","1140ee1","inzooe5e.txt"
"26","Thebottomrightcornershapewasdifferent","5b4b59fe3905740001273cfc","1273cfc","JBRu2ELo.txt"
"27","Theshapesonthefoundationoftheblocktheywereon.","5b27f7ce96531a0001fd534d","1fd534d","JYY8imoZ.txt"
"28","Thesizewasdifferent","5ba84ef846de410001ecf704","1ecf704","K0arldlv.txt"
"29","Thefarrightobjectwasalwaysadifferentsize.","58742bf5d53c97000159df8c","159df8c","mk441kUw.txt"
"30","Itwashardtotell.ForthedifferencesInoticed,itwasmostlyamongtheplacementofthepieces,sometimestheshadows,andtheshapeandsizeofthewholeobject.","5abd2b4fe734400001d9ee98","1d9ee98","MLIPCcVU.txt"
"31","Themiddleobject(middle,lower-leftarea)wouldhavesectionsthatwouldbesmallorlarger.Theotherclumpedobjects(upperleftandmiddleright)didnotchange.","5bbfccd41ff4ba00011c37ec","11c37ec","mw0hbeSw.txt"
"32","Ontheleftside,closesttothescreen,wasarockwithasmallerrockonitssurface.Thatsmallerrockchangedwidths.","5bba370b6130300001e3708e","1e3708e","NETkbYNn.txt"
"33","Theshapesontop,veryslightchanges","5bb9b8c70cb04c00014fb62f","14fb62f","QJGlWHQo.txt"
"34","Thetoprock?Ittookuntilthelastonetotell,thistestisinane","5aea71b9b779850001926fa0","1926fa0","qTK0MQTd.txt"
"35","thedetailedknobsonthebiggraysurfacewereusuallywhatwasdifferent.Ithinksometimesthewholethingwasadifferentsizeorshade.","SereneGood","","tTtXAaxs.txt"
"36","Thetopbackrock.","5baec6c108a10b000139cce8","139cce8","U26tlJ07.txt"
"37","Thebottomrightcornershapewasdifferent","5b4b59fe3905740001273cfc","1273cfc","xKXghAIL.txt"
"38","Onlythebottomshapechanged,usuallygotlargerorsmaller,thinnerorbolder.","592621a771d4fe00012ce948","12ce948","yHA0elfA.txt"
"39","Thebottomrightcornershapewasdifferent","5b4b59fe3905740001273cfc","1273cfc","zqnnkkZS.txt"
