"","Gender","Age","Ethnicity","Race","SubID"
"1","F",27,"NHL","W","1fb6b59"
"2","M",26,"NHL","A","154f8af"
"3","F",27,"NHL","A","1b9533d"
"4","M",25,"HL","W","1426285"
"5","M",32,"NHL","W","11c51fc"
"6","M",23,"NHL","W","1a559eb"
"7","F",33,"NHL","W","12b7ed6"
"8","M",21,"HL","W","5811e8d"
"9","M",35,"NHL","W","1697f84"
"10","F",25,"NHL","W","184d2a9"
"11","F",29,"NHL","W","103c98d"
"12","M",28,"NHL","W","17ac431"
"13","M",30,"NHL","W","1df625b"
"14","M",34,"NHL","AA","1876e7b"
"15","F",19,"HL","M","1538d17"
"16","F",32,"NHL","W","174b1ec"
"17","M",34,"NHL","W","172043d"
"18","M",22,"NHL","W","1d93c98"
"19","M",29,"NHL","W","1ca3881"
"20","F",27,"NHL","W","1ff97fd"
"21","M",32,"NHL","W","19055f2"
"22","F",35,"NHL","W","139deb9"
"23","M",35,"NHL","W","1dbd8b7"
"24","M",28,"NHL","W","14db6f7"
"25","M",29,"NHL","W","166ce65"
"26","M",30,"NA","W","1e9e03e"
"27","M",NA,"NA","NA","1a8c567"
"28","M",29,"NHL","W","153164e"
"29","F",35,"NHL","M","itlooke"
"30","F",33,"NHL","W","17964d4"
