,X,post_surve,prolificID,SubID,confirm_code,basic_id,d_p,feature
1,1,Themiddlepartoftherockvariedinsize.,5ba83dddf9df020001f40cfc,1f40cfc,0BH4nNqi.txt,1f40cfc,3.34838032,1
2,2,shadows,59c212d4e3a73b00011a8b63,11a8b63,3A6dxjCl.txt,11a8b63,0.144195738,2
3,3,thebottomrightobjectwastheonethatchanged.,5adef850eb60400001539109,1539109,6CC3xC4N.txt,1539109,3.048322921,2
4,4,theoneonthebottomrightchangedinsize,5abfe64d436f550001ffad93,1ffad93,8SjecAlz.txt,1ffad93,4.449538747,2
5,5,Themiddlepartoftherockvariedinsize.,5ba83dddf9df020001f40cfc,1f40cfc,bkoIOh6V.txt,1f40cfc,3.34838032,1
6,6,"thecenterobjectwaschanging,Ithinkmaybetheshapeinsome?ThereweresomethatIthoughtwerethesamethatsaidtheyweredifferent.Mustnothavecaughtthedifferenceforthose.",5bbd13d55ec0a20001871443,1871443,C2b6ZzIn.txt,1f40cfc,3.34838032,1
7,7,Therewaseitheradarklineornotadarklineonthetopleftobject.,5a4909a37aebf7000115453d,115453d,cDLXRaOR.txt,115453d,2.294197414,3
8,8,Thehouseonthetopleftcorner,5ba4c44552f7c20001bec343,1bec343,CNNc0TGB.txt,1bec343,4.449538747,3
9,9,Themiddleprotrusionchangedsize.,5622e169ed6e5a0011c8077b,1c8077b,CoqyrPLR.txt,1f40cfc,3.34838032,1
10,10,thetoppartshaded,5b0056ccb98c410001ad64d9,1ad64d9,DiPnMNmE.txt,1ad64d9,-0.18001237,3
11,11,smaller/biggerbottomleftprotrusion,5ba123297b196f0001964762,1964762,dw4kcEuy.txt,1964762,0.292216639,2
12,12,nothingwasdifferent,5bbd033261968f0001f02bac,1f02bac,eUFVjOMY.txt,1f02bac,NA,2
13,13,linesonthepolygons,5ba84c3e3e64da0001ad1773,1ad1773,iqP4yCu4.txt,1ad1773,4.449538747,3
14,14,theknobsplacementandnumberofknobsonobject,5b0569619d397e00019167e4,1.92E+08,lfK1XRw1.txt,1f40cfc,3.34838032,1
15,15,bottomleft,5aa5ee5a6475f90001a05cf5,1a05cf5,LpMQ2zyk.txt,1a05cf5,2.435198447,1
16,16,Thelowerleftpartoftheobjectwasdifferentwithsomeofthembeingbiggerthanothersorsmallerthanothers.,5b77602834f4b70001d817ba,1d817ba,lZkwXUOW.txt,1d817ba,2.615652909,1
17,17,overlaidobjects,5b11fc40d282ff00015c0100,15c0100,ocLMqyCE.txt,15c0100,3.044453312,1
18,18,Thebottomrightpartthatwasstickingoutoftherocklikeshapechangedinsizeoften.,58d7d2c2e9b6dc000129148a,129148a,Op4HwPNZ.txt,129148a,2.801544485,2
19,19,shadows,5b5c3b266b25590001778ea1,1778ea1,QIKhTHXD.txt,1778ea1,3.34838032,3
20,20,Onthetoppartoftheobjectthereisasmallrockthingcomingoutofit.Ontherightsideofitablacklinewouldchangeinthickness.,5ba1aa86517ed100019449ac,19449ac,skGsatHC.txt,19449ac,1.542679934,3
21,21,Therewas one specific small rock part that changed or stayed the same so it was usually easy to tell if theobjectwasdifferentbasedonthatonespot.,5ba1460a235af60001fef5d8,1fef5d8,SKYFgG3L.txt,1fef5d8,2.257706758,1
22,22,Itwasusuallytheonetothebottomoftheleftside.,57d6dd8d6598aa000199188b,199188b,SlGEct8u.txt,199188b,2.855222627,1
23,23,thelandshapes,57fbe878035f6e0001d71a8c,1d71a8c,smTZkHD7.txt,1d71a8c,0.415490886,2
24,24,Little triangle tip of the left smallobjectonthesideofthelargerobject.,5b707a406f0ed10001bfb973,1bfb973,sx3geYta.txt,1bfb973,2.820204104,1
25,25,The part of the object sticking up on the left on the top face oftheobjectwasdifferent.,5b4dba7250f6e9000120902c,120902c,sxg3FNMI.txt,120902c,2.46449095,3
26,26,thelowerleftpiece,5ba831a5168e5e0001e48ef3,1e48ef3,t1GzzEOM.txt,1e48ef3,1.178519637,1
27,27,Thebottomrightdarkergreyareaoftheobjectwastheonlythingthatvariedbetweenimages.,5b90116be6c54c0001091afd,1091afd,ttFTaxIX.txt,1091afd,4.440275452,2
28,28,theleftshapechangedbetweenpairs,5a95edca89de8200013edd0d,13edd0d,U0xnqEib.txt,13edd0d,2.174098465,1
29,29,ihonestlycouldbarelytell.colorsometimes?,5b909eee1e21c10001e9ea77,1e9ea77,UA4wME0m.txt,1f40cfc,3.34838032,1
30,30,Thetopobject,5ba8584d54954c0001ded5f0,1ded5f0,Uj01lotD.txt,1ded5f0,2.513218677,3
31,31,Oneofthesmallershapesinsidethelargeonechangedsizes,5bc2bad68e4b150001fda946,1fda946,UMasqHa0.txt,1fda946,2.735961718,3
32,32,the top shape appeared to change on the right side and the shadows on thelowerrightappearedtochange,5ba6ad5e2c7f490001f49aed,1f49aed,V4Tzsvvj.txt,1f49aed,0.374910573,3
33,33,thelittlenodulesonthesidesofthefigurewereshifteddifferently.,578daaf4275be600013598d1,13598d1,VCmhQx4T.txt,13598d1,0.115454848,1
34,34,thelumpontheleftmostside,5b6349b692f4b8000148ec2a,148ec2a,WZf2uu0R.txt,148ec2a,2.254401957,1
35,35,Thebottompartoftheclusterofrockstothefarthestrightofthelargerrock,57fc5ae8b80310000163ec1e,163ec1e,x1oe9Ftt.txt,163ec1e,3.184799357,2
36,36,Thelowermostnode,59dba8575cddae0001ff0780,1ff0780,xJrYOnvK.txt,1ff0780,2.435198447,2
37,37,Thedarkergreyshapeinthemiddleoftheobjectwasdifferent,57901207c9abeb0001af353e,1af353e,yUZDFkNQ.txt,1af353e,3.036019117,1
38,38,itvariedonthebottomandtoppartsbutitwashardtotellthedifference,5acf8cd5a010190001b34afa,1b34afa,YwNAPDKc.txt,1b34afa,0.1105463,3
