"","post_surve","prolificID","SubID","confirm_code"
"1","Therockonthetopleftofthelargestpiece.","5b66fe8b9ed653000189e236","189e236","3Y8QH5iz.txt"
"2","Thebottomrightshape","5b5e0afad7608a0001aeba69","1aeba69","4IsaXvDY.txt"
"3","Thetopshapeontheobject","5b98412d83ac680001596ba3","1596ba3","6gxBXZjn.txt"
"4","shapeofsadows","5bb2ad30fc0969000118e902","118e902","7VMzoSEc.txt"
"5","AllInoticewasthesizeofthebottomrightblock,andtheshadowunderneathit.","588908498fd7f00001d735f8","1d735f8","aSGCptnR.txt"
"6","thedarkobjectinthecenterwastheonlythingthatchanged","5bb90c5bdb447c0001938b10","1938b10","EqJkbOfA.txt"
"7","Itwashardtodecipher.Ittookquiteafewrunsafterobservingthethreeobjectsandtheactuallargerocktheywereontonoticethedifferences.Finally,itlookedlikethedifferencesweretheshapeoftheobjectonthehighestobject.","5b134a12bd9c31000156d4e2","156d4e2","F9qNF5p2.txt"
"8","Therockontopofthebigrock","5a807a480f1bce000121f918","121f918","HdxhFKsF.txt"
"9","theshadows","5aecd50c8db5b00001ada5da","1ada5da","JHyKaKe9.txt"
"10","thebottomleftshape","58ec17868ec78100012150cd","12150cd","JkdKt72H.txt"
"11","leftrocks","5aeaff98b128a70001b72de7","1b72de7","k0AUAjiE.txt"
"12","topleftextensionhaddifferentshapes","5ad7c075c25ea0000188486b","188486b","LKbBW1AJ.txt"
"13","Somepartswereabitlargerthantheircounterparts.","57fc034d5682050001101347","1101347","lWllV3tn.txt"
"14","Locationsofprotrusions,shading,sizeofprotrusions,attitudeofprotrusions","5af9b549e066a40001138c52","1138c52","MCHjuaIo.txt"
"15","Onthebottomrighttherockpiecelookeddifferent","5652186a812a980012fe65ce","2fe65ce","NURmZP7H.txt"
"16","Theshadowofthebottomrightobject","5b05e34d1794bc0001366b8a","1366b8a","o6VpR2hf.txt"
"17","Themiddleobjecthadatriangleonitstopthatchangedsizes","585849a944177c0001aacf8e","1aacf8e","OrlS1ict.txt"
"18","Thecenterbottomrightobjectvariedinsize,width.","5b6335d8bc9c46000184ab04","184ab04","pyNFbE2G.txt"
"19","thebottomrightandthedifferencewasinsizeoftheobject","559304ccfdf99b59a74caa1f","74caa1f","qcF0bt1l.txt"
"20","Theedgesofthemiddlerockweredifferentsizes.","55eb04337480920010aa9e0d","0aa9e0d","R3JEtwYf.txt"
"21","thelittletrianglesonthebottomclump.THISWASTERRIBLE!!!!!!!!!!!!","5b08c74de33e2b00016acb41","16acb41","sXFUZwTE.txt"
"22","Iwasfocusingonthetoprock","57bf2f693aa21900017f7ae6","17f7ae6","T9tRjbHm.txt"
"23","Thedarkpiecesstickingout","5b71f879802e260001dcaf6c","1dcaf6c","TNNxpXnb.txt"
"24","Thelowerleftobjectandit'sprojectionandshadow","5ba016525764cb0001a3f553","1a3f553","V5jgUdiq.txt"
"25","Ilookedatthebottomleftquadrantoftheobjectandtherewasasmallerpolygonthatwasveryskinny,skinny,medium,orlarge.","59ff81fd5d06850001afeeab","1afeeab","VDmeZ00V.txt"
"26","twoofthedarkgrayoutcroppingsweredifferentsizes","58a5cf959e040a0001399f07","1399f07","VQeYw8RM.txt"
"27","therocklikeshapeontopofthelargerockshape.","5afe8d3259ae1e00017e736d","17e736d","wc6kofi1.txt"
"28","theclusterofshapesinthecenter,therewasanubthatdifferinsize.","5b523bdc608e18000184d8a6","184d8a6","XKvNw2oY.txt"
"29","Thesizeoftheknobonthesmallforwardfacingthing","5b245ce134ffd00001b41c00","1b41c00","ZzS4FP7Z.txt"
