"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"2",0,1,1891,1,4,3,"edd2cf1",1,1
"3",1,1,271,6,6,3,"edd2cf1",2,1
"4",1,1,447,4,4,3,"edd2cf1",3,1
"5",0,1,1607,2,1,3,"edd2cf1",4,1
"6",0,1,283,1,6,3,"edd2cf1",5,1
"7",1,1,382,1,1,3,"edd2cf1",6,1
"8",1,1,232,5,5,3,"edd2cf1",7,1
"9",0,1,378,5,1,3,"edd2cf1",8,1
"10",0,0,325,3,3,3,"edd2cf1",9,1
"11",1,1,217,2,2,3,"edd2cf1",10,1
"12",0,1,145,3,1,3,"edd2cf1",11,1
"13",1,1,84,1,1,3,"edd2cf1",12,1
"14",1,1,1080,2,2,3,"edd2cf1",13,1
"15",0,1,344,1,6,3,"edd2cf1",14,1
"16",1,1,245,4,4,3,"edd2cf1",15,1
"17",0,1,361,5,1,3,"edd2cf1",16,1
"18",1,0,1828,4,1,3,"edd2cf1",17,1
"19",1,1,303,6,6,3,"edd2cf1",18,1
"20",1,0,111,1,2,3,"edd2cf1",19,1
"21",0,1,1833,1,3,3,"edd2cf1",20,1
"22",1,1,107,3,3,3,"edd2cf1",21,1
"23",1,1,116,5,5,3,"edd2cf1",22,1
"24",1,1,1739,3,3,3,"edd2cf1",23,1
"25",1,1,246,2,2,3,"edd2cf1",24,1
"26",1,1,151,6,6,3,"edd2cf1",25,1
"27",1,1,186,1,1,3,"edd2cf1",26,1
"28",0,1,267,1,6,3,"edd2cf1",27,1
"29",0,1,1549,3,1,3,"edd2cf1",28,1
"30",1,1,53,5,5,3,"edd2cf1",29,1
"31",0,1,204,4,1,3,"edd2cf1",30,1
"32",0,1,259,1,5,3,"edd2cf1",31,1
"33",1,0,1531,2,1,3,"edd2cf1",32,1
"34",0,0,141,4,4,3,"edd2cf1",33,1
"35",0,1,1527,1,2,3,"edd2cf1",34,1
"36",0,1,1992,3,1,3,"edd2cf1",35,1
"37",1,1,26,2,2,3,"edd2cf1",36,1
"38",0,1,244,5,1,3,"edd2cf1",37,1
"39",1,1,308,1,1,3,"edd2cf1",38,1
"40",1,1,247,5,5,3,"edd2cf1",39,1
"41",0,1,95,6,1,3,"edd2cf1",40,1
"42",1,0,402,1,4,3,"edd2cf1",41,1
"43",1,1,1932,3,3,3,"edd2cf1",42,1
"44",1,1,1894,4,4,3,"edd2cf1",43,1
"45",1,1,63,6,6,3,"edd2cf1",44,1
"46",0,1,168,6,1,3,"edd2cf1",45,1
"47",1,0,91,1,3,3,"edd2cf1",46,1
"48",0,0,1399,2,2,3,"edd2cf1",47,1
"49",1,1,1754,3,3,3,"edd2cf1",48,1
"50",1,1,227,1,1,3,"edd2cf1",49,1
"51",0,1,268,1,2,3,"edd2cf1",50,1
"52",1,1,196,6,6,3,"edd2cf1",51,1
"53",0,1,1413,1,4,3,"edd2cf1",52,1
