"","Gender","Age","Ethnicity","Race","SubID"
"1","M",31,"NHL","W","edd2cf1"
"2","M",NA,"NHL","A","14fa68e"
"3","M",21,"NHL","W","1d6393b"
"4","M",30,"NHL","W","1f75812"
"5","F",30,"NHL","W","1c06873"
"6","F",22,"HL","W","11033a7"
"7","M",27,"NA","W","1408e1b"
"8","F",25,"NHL","W","1c744db"
"9","M",30,"NHL","W","19982b6"
"10","F",24,"NHL","W","15ae44c"
"11","F",34,"NHL","W","1624e57"
"12","F",26,"NHL","W","1094125"
"13","M",27,"NHL","W","13e0298"
"14","M",21,"NHL","W","1fa772d"
"15","F",31,"NHL","W","1d349a8"
"16","M",31,"NHL","W","1a389f3"
"17","M",23,"NHL","W","1de7a7b"
"18","M",27,"NHL","A","22ce30a"
"19","F",28,"NHL","W","10593eb"
"20","M",27,"NHL","W","1f758f0"
"21","F",NA,"NA","NA","1867049"
"22","F",27,"NHL","M","d0fc35c"
"23","M",34,"NHL","W","10608f0"
"24","M",33,"NHL","O","1b9b5cf"
"25","F",20,"NHL","W","1563fbc"
"26","F",27,"NHL","W","1b83177"
"27","F",34,"NHL","W","f9941d4"
"28","M",21,"NHL","W","10a7c78"
"29","M",28,"NHL","W","1e506ec"
"30","F",34,"HL","W","19f91cd"
"31","M",26,"NHL","W","105a8b2"
"32","M",35,"NHL","W","151240e"
