"","post_surve","prolificID","SubID","confirm_code"
"1","Shadingofvariousareasontheshapeswerealtered","572bcf0d34b25a000edd2cf1","edd2cf1","0BWaOECg.txt"
"2","Thebottomleftbit","5b2199c0cd0abe00014fa68e","14fa68e","6YFHbJsG.txt"
"3","Theshapeatthebottomrightoftheobjectchangedsizeandshape.","58c5ade8334d5b0001d6393b","1d6393b","bwYDmnSr.txt"
"4","Iwasfocusingonapieceoftheupperleftpartoftheobjectinwhichtherewasatriangularshapethatvariednoticeablyinordertoidentifypairswhichwerethesameordifferent.","5bad1b21defccb0001f75812","1f75812","cK0Z3li6.txt"
"5","themiddleobjectchanged-thesizeofpartsofitwerebiggerorsmaller","5ae7b0713810080001c06873","1c06873","EyiUS8y8.txt"
"6","Theclusteronthelowerleftoftheobjecthadportionsthatwouldchangesize.","5b9dcb3bd2599000011033a7","11033a7","fCkWCnYK.txt"
"7","trianglewasdifferentsizes","5bb8e9ee7947980001408e1b","1408e1b","FFiFnJwz.txt"
"8","itwasthepartthatjutsoutfromthebumpinthelowerrightoftheshape","5b9e9fff6e3ebc0001c744db","1c744db","fJqGkd0L.txt"
"9","thewidthofthepolygonsweredifferent.Also,I'mnotsureifitwasintentionalinthetestornotbutsometimesananswer(incorrect/correct)wouldappearbeforeIevenhadachancetopresssord.Ifthatwasn'tintentionalIthoughtyouwouldliketoknowaboutit.Ifnot,goodjob,itwasannoying.","5b83093a3c137500019982b6","19982b6","gLJefcdm.txt"
"10","Thebigrockhadsmallerlittleoutcroppingsofrockonit.Atriangularpieceononeofthoseoutcroppingswouldchangeshapeandsize.","5bbeb9e16322c500015ae44c","15ae44c","gnm9nsrr.txt"
"11","Thesmalltriangleshapeatthebottom","5aeb9b8375deca0001624e57","1624e57","iEeThPco.txt"
"12","Theforward-mostprotrudingchunkontherightoftheobjectwaschanginginoverallsize,thedimensionsofitsfaces,anditsapparentdepth.","5b987a001a42620001094125","1094125","if6cDsoa.txt"
"13","Thelowerpartofthebottomrightprotrusionvariedbetweentrials","57b37da1a18afd00013e0298","13e0298","ihrGutMw.txt"
"14","toprock","5b8960b2bca3400001fa772d","1fa772d","ITG4HRDv.txt"
"15","Likelasttimethegreytriangleonthetopobjectchangessize.Thetopfaceandbottomfrontfacegetsanextrasidewhenitislarger","589e989ce6afe00001d349a8","1d349a8","JH1l1KzL.txt"
"16","smallertopformationchanges..butitshardtocatchsometimesbecauseitreallymakesyoureyestiredwatchingwhatseemslikearepeatimage.","5ba43b292d28760001a389f3","1a389f3","JY9ofn6t.txt"
"17","Thesmallshapeatthebottomleft.","5b735f16495f160001de7a7b","1de7a7b","ll8a3DYo.txt"
"18","bottomleftsectionpiecechangedsizes","566f7754b937e400122ce30a","22ce30a","LmleLR69.txt"
"19","Theshapeontherightwastheonethatchanged.","5a79f14a8fe2dc00010593eb","10593eb","nL0mAYxg.txt"
"20","Thebottomgraypart","5bc2767f7301b10001f758f0","1f758f0","nSYAtIjg.txt"
"21","thebottomrightobjectshapesize","5aea911a854c900001867049","1867049","Om2ERlAo.txt"
"22","thesmallpolygonprotrudingoutofthemiddlepolygon","5697e0217183b8000d0fc35c","d0fc35c","p0g94Coy.txt"
"23","Lowerleftkeptchanging","5b440a5430bbfd00010608f0","10608f0","PRekn2KD.txt"
"24","theleftandrighthandportrusionsonthemainshape","5b0fca411e55760001b9b5cf","1b9b5cf","QcEnrZRo.txt"
"25","Thesmalltriangularprismstructureontheleft","5a8d42df1904200001563fbc","1563fbc","QDcDovvr.txt"
"26","Thetrianglesonthelefthandsideoftheobjectweredifferentbetweenpairs.","5ba85a9d032d360001b83177","1b83177","qOjzpvuQ.txt"
"27","Thelittlerockontopofmediumsizedrockonthelowerleftofthebigrock","55ad1d55fdf99b4c8f9941d4","f9941d4","r44AGFi3.txt"
"28","Theupperleftcorneroftheobjecthadasmalltrianglethatdifferedinsize","58c5b4e7c8677b00010a7c78","10a7c78","reDATlJg.txt"
"29","thetoptriangleontherockshapekeptchangingsizes","5b1b75312767e20001e506ec","1e506ec","VxEmmWRt.txt"
"30","thedifferenceintheobjectswerethelowerleftimagepiecesthatvariedinsizeandshape","5bc13b08f7ea0800019f91cd","19f91cd","WHMEgphd.txt"
"31","Thetwobottom-leftpolygonsweredifferentsizes.","5b2fef03530770000105a8b2","105a8b2","wPvPcVyQ.txt"
"32","Therewasatriangularpartinthelowerleftthatjuttedoutmoreattimes.","59dc458f77860e000151240e","151240e","yTY6Rue0.txt"
