"","X","post_surve","prolificID","SubID","confirm_code","basic_id","d_p","feature"
"1",1,"Shadingofvariousareasontheshapeswerealtered","572bcf0d34b25a000edd2cf1","edd2cf1","0BWaOECg.txt","edd2cf1",1.47224842840819,4
"2",2,"Thebottomleftbit","5b2199c0cd0abe00014fa68e","14fa68e","6YFHbJsG.txt","14fa68e",2.37674224066392,2
"3",3,"Theshapeatthebottomrightoftheobjectchangedsizeandshape.","58c5ade8334d5b0001d6393b","1d6393b","bwYDmnSr.txt","1d6393b",3.85774094946916,3
"4",4,"Iwasfocusingonapieceoftheupperleftpartoftheobjectinwhichtherewasatriangularshapethatvariednoticeablyinordertoidentifypairswhichwerethesameordifferent.","5bad1b21defccb0001f75812","1f75812","cK0Z3li6.txt","1f75812",4.44953874685146,4
"5",5,"themiddleobjectchanged-thesizeofpartsofitwerebiggerorsmaller","5ae7b0713810080001c06873","1c06873","EyiUS8y8.txt","1c06873",4.44953874685146,2
"6",6,"Theclusteronthelowerleftoftheobjecthadportionsthatwouldchangesize.","5b9dcb3bd2599000011033a7","11033a7","fCkWCnYK.txt","11033a7",4.44953874685146,1
"7",7,"trianglewasdifferentsizes","5bb8e9ee7947980001408e1b","1408e1b","FFiFnJwz.txt","1408e1b",2.61692623477372,4
"8",8,"itwasthepartthatjutsoutfromthebumpinthelowerrightoftheshape","5b9e9fff6e3ebc0001c744db","1c744db","fJqGkd0L.txt","1c744db",1.89995489690566,3
"9",9,"thewidthofthepolygonsweredifferent.Also,I'mnotsureifitwasintentionalinthetestornotbutsometimesananswer(incorrect/correct)wouldappearbeforeIevenhadachancetopresssord.Ifthatwasn'tintentionalIthoughtyouwouldliketoknowaboutit.Ifnot,goodjob,itwasannoying.","5b83093a3c137500019982b6","19982b6","gLJefcdm.txt","edd2cf1",1.47224842840819,4
"10",10,"Thebigrockhadsmallerlittleoutcroppingsofrockonit.Atriangularpieceononeofthoseoutcroppingswouldchangeshapeandsize.","5bbeb9e16322c500015ae44c","15ae44c","gnm9nsrr.txt","15ae44c",4.17010215216936,2
"11",11,"Thesmalltriangleshapeatthebottom","5aeb9b8375deca0001624e57","1624e57","iEeThPco.txt","1624e57",3.03601911726277,1
"12",12,"Theforward-mostprotrudingchunkontherightoftheobjectwaschanginginoverallsize,thedimensionsofitsfaces,anditsapparentdepth.","5b987a001a42620001094125","1094125","if6cDsoa.txt","1094125",4.44953874685146,3
"13",13,"Thelowerpartofthebottomrightprotrusionvariedbetweentrials","57b37da1a18afd00013e0298","13e0298","ihrGutMw.txt","13e0298",4.16240548711139,3
"14",14,"toprock","5b8960b2bca3400001fa772d","1fa772d","ITG4HRDv.txt","1fa772d",3.04832292052542,4
"15",15,"Likelasttimethegreytriangleonthetopobjectchangessize.Thetopfaceandbottomfrontfacegetsanextrasidewhenitislarger","589e989ce6afe00001d349a8","1d349a8","JH1l1KzL.txt","1d349a8",4.16240548711139,4
"16",16,"smallertopformationchanges..butitshardtocatchsometimesbecauseitreallymakesyoureyestiredwatchingwhatseemslikearepeatimage.","5ba43b292d28760001a389f3","1a389f3","JY9ofn6t.txt","1a389f3",2.01852500274487,4
"17",17,"Thesmallshapeatthebottomleft.","5b735f16495f160001de7a7b","1de7a7b","ll8a3DYo.txt","1de7a7b",4.44953874685146,1
"18",18,"bottomleftsectionpiecechangedsizes","566f7754b937e400122ce30a","22ce30a","LmleLR69.txt","22ce30a",4.3952774216664,2
"19",19,"Theshapeontherightwastheonethatchanged.","5a79f14a8fe2dc00010593eb","10593eb","nL0mAYxg.txt","10593eb",3.18479935667398,3
"20",20,"Thebottomgraypart","5bc2767f7301b10001f758f0","1f758f0","nSYAtIjg.txt","1f758f0",3.83940851061295,3
"21",21,"thebottomrightobjectshapesize","5aea911a854c900001867049","1867049","Om2ERlAo.txt","1867049",3.87026235698071,3
"22",22,"thesmallpolygonprotrudingoutofthemiddlepolygon","5697e0217183b8000d0fc35c","d0fc35c","p0g94Coy.txt","d0fc35c",0.745747235768317,2
"23",23,"Lowerleftkeptchanging","5b440a5430bbfd00010608f0","10608f0","PRekn2KD.txt","10608f0",2.71406506004976,1
"24",24,"theleftandrighthandportrusionsonthemainshape","5b0fca411e55760001b9b5cf","1b9b5cf","QcEnrZRo.txt","1b9b5cf",0.744702200105601,1
"25",25,"Thesmalltriangularprismstructureontheleft","5a8d42df1904200001563fbc","1563fbc","QDcDovvr.txt","1563fbc",3.83940851061295,1
"26",26,"Thetrianglesonthelefthandsideoftheobjectweredifferentbetweenpairs.","5ba85a9d032d360001b83177","1b83177","qOjzpvuQ.txt","1b83177",3.55790115428051,1
"27",27,"Thelittlerockontopofmediumsizedrockonthelowerleftofthebigrock","55ad1d55fdf99b4c8f9941d4","f9941d4","r44AGFi3.txt","f9941d4",4.44953874685146,2
"28",28,"Theupperleftcorneroftheobjecthadasmalltrianglethatdifferedinsize","58c5b4e7c8677b00010a7c78","10a7c78","reDATlJg.txt","10a7c78",4.44953874685146,4
"29",29,"thetoptriangleontherockshapekeptchangingsizes","5b1b75312767e20001e506ec","1e506ec","VxEmmWRt.txt","1e506ec",4.17010215216936,4
"30",30,"thedifferenceintheobjectswerethelowerleftimagepiecesthatvariedinsizeandshape","5bc13b08f7ea0800019f91cd","19f91cd","WHMEgphd.txt","19f91cd",1.81461190288315,3
"31",31,"Thetwobottom-leftpolygonsweredifferentsizes.","5b2fef03530770000105a8b2","105a8b2","wPvPcVyQ.txt","105a8b2",4.14969895166281,2
"32",32,"Therewasatriangularpartinthelowerleftthatjuttedoutmoreattimes.","59dc458f77860e000151240e","151240e","yTY6Rue0.txt","151240e",4.16240548711139,1
