"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"2",1,1,784,4,4,1,"1cd6f2e",1,1
"3",0,1,1311,5,1,1,"1cd6f2e",2,1
"4",0,1,349,1,4,1,"1cd6f2e",3,1
"5",1,1,361,1,1,1,"1cd6f2e",4,1
"6",1,1,362,5,5,1,"1cd6f2e",5,1
"7",0,1,287,1,6,1,"1cd6f2e",6,1
"8",1,1,292,6,6,1,"1cd6f2e",7,1
"9",1,1,434,4,4,1,"1cd6f2e",8,1
"10",1,1,595,1,1,1,"1cd6f2e",9,1
"11",0,1,301,1,6,1,"1cd6f2e",10,1
"12",1,1,261,6,6,1,"1cd6f2e",11,1
"13",0,1,336,1,4,1,"1cd6f2e",12,1
"14",0,1,370,1,5,1,"1cd6f2e",13,1
"15",1,1,258,5,5,1,"1cd6f2e",14,1
"16",0,1,318,4,1,1,"1cd6f2e",15,1
"17",1,1,499,1,1,1,"1cd6f2e",16,1
"18",0,1,314,1,5,1,"1cd6f2e",17,1
"19",0,1,277,1,6,1,"1cd6f2e",18,1
"20",1,1,338,4,4,1,"1cd6f2e",19,1
"21",1,1,294,6,6,1,"1cd6f2e",20,1
"22",1,1,457,5,5,1,"1cd6f2e",21,1
"23",1,1,322,4,4,1,"1cd6f2e",22,1
"24",1,1,293,6,6,1,"1cd6f2e",23,1
"25",0,1,359,1,5,1,"1cd6f2e",24,1
"26",0,1,607,4,1,1,"1cd6f2e",25,1
"27",1,1,288,1,1,1,"1cd6f2e",26,1
"28",1,1,325,5,5,1,"1cd6f2e",27,1
"29",0,1,477,6,1,1,"1cd6f2e",28,1
"30",1,1,833,5,5,1,"1cd6f2e",29,1
"31",1,1,457,1,1,1,"1cd6f2e",30,1
"32",0,1,707,1,5,1,"1cd6f2e",31,1
"33",1,1,580,4,4,1,"1cd6f2e",32,1
"34",1,1,566,6,6,1,"1cd6f2e",33,1
"35",0,1,303,4,1,1,"1cd6f2e",34,1
"36",0,1,263,6,1,1,"1cd6f2e",35,1
"37",1,1,274,1,1,1,"1cd6f2e",36,1
"38",0,1,469,4,1,1,"1cd6f2e",37,1
"39",0,1,553,1,6,1,"1cd6f2e",38,1
"40",1,1,426,4,4,1,"1cd6f2e",39,1
"41",1,1,430,6,6,1,"1cd6f2e",40,1
"42",0,1,708,1,5,1,"1cd6f2e",41,1
"43",1,1,293,5,5,1,"1cd6f2e",42,1
"44",0,1,306,6,1,1,"1cd6f2e",43,1
"45",0,1,320,4,1,1,"1cd6f2e",44,1
"46",1,1,317,1,1,1,"1cd6f2e",45,1
"47",1,1,382,4,4,1,"1cd6f2e",46,1
"48",0,1,302,5,1,1,"1cd6f2e",47,1
"49",1,1,263,5,5,1,"1cd6f2e",48,1
"50",1,1,417,6,6,1,"1cd6f2e",49,1
"51",1,1,462,4,4,1,"1cd6f2e",50,1
"52",0,1,357,1,5,1,"1cd6f2e",51,1
"53",1,1,772,5,5,1,"1cd6f2e",52,1
"54",1,1,478,6,6,1,"1cd6f2e",53,1
"55",0,1,892,1,4,1,"1cd6f2e",54,1
"56",0,1,485,1,6,1,"1cd6f2e",55,1
"57",1,1,290,1,1,1,"1cd6f2e",56,1
"58",1,1,923,5,5,1,"1cd6f2e",57,1
"59",1,1,327,1,1,1,"1cd6f2e",58,1
"60",0,1,345,4,1,1,"1cd6f2e",59,1
"61",0,1,566,6,1,1,"1cd6f2e",60,1
"62",1,1,559,6,6,1,"1cd6f2e",61,1
"63",1,1,500,4,4,1,"1cd6f2e",62,1
"64",0,1,403,5,1,1,"1cd6f2e",63,1
"65",1,1,517,4,4,1,"1cd6f2e",64,1
"66",1,1,370,5,5,1,"1cd6f2e",65,1
"67",0,1,407,1,5,1,"1cd6f2e",66,1
"68",1,1,712,6,6,1,"1cd6f2e",67,1
"69",1,1,336,1,1,1,"1cd6f2e",68,1
"70",0,1,451,1,4,1,"1cd6f2e",69,1
"71",0,1,805,6,1,1,"1cd6f2e",70,1
"210",1,0,665,1,4,0,"113c150",1,1
"310",0,1,51,1,5,0,"113c150",2,1
"410",1,1,292,5,5,0,"113c150",3,1
"510",0,1,406,6,1,0,"113c150",4,1
"610",1,1,632,1,1,0,"113c150",5,1
"72",1,1,434,6,6,0,"113c150",6,1
"81",1,1,394,4,4,0,"113c150",7,1
"91",0,1,363,1,6,0,"113c150",8,1
"101",1,1,422,1,1,0,"113c150",9,1
"111",0,1,503,5,1,0,"113c150",10,1
"121",1,1,360,4,4,0,"113c150",11,1
"131",1,1,474,5,5,0,"113c150",12,1
"141",1,1,411,6,6,0,"113c150",13,1
"151",0,1,253,4,1,0,"113c150",14,1
"161",1,1,367,1,1,0,"113c150",15,1
"171",0,1,337,1,4,0,"113c150",16,1
"181",1,1,322,4,4,0,"113c150",17,1
"191",0,1,453,1,5,0,"113c150",18,1
"201",1,1,374,5,5,0,"113c150",19,1
"211",1,1,295,6,6,0,"113c150",20,1
"221",0,1,415,6,1,0,"113c150",21,1
"231",0,1,402,1,6,0,"113c150",22,1
"241",1,1,465,4,4,0,"113c150",23,1
"251",1,1,373,6,6,0,"113c150",24,1
"261",1,1,365,5,5,0,"113c150",25,1
"271",1,1,336,1,1,0,"113c150",26,1
"281",1,0,344,4,1,0,"113c150",27,1
"291",0,1,419,1,5,0,"113c150",28,1
"301",1,0,355,1,6,0,"113c150",29,1
"311",1,1,398,1,1,0,"113c150",30,1
"321",1,1,318,5,5,0,"113c150",31,1
"331",0,1,48,1,4,0,"113c150",32,1
