X,post_surve,prolificID,SubID,confirm_code,basic_id,d_p,feature,bonus,d2
1,"The bottom triangle part in the darkbottomrightpeicethatstuckout.Itchangedsize,whichIthinkithad3differentsizes.",5b9ff0220268410001cd6f2e,1cd6f2e,0FkmwtmZ.txt,1cd6f2e,5.135962748,2,2,y
7,oneofthebumpswasthreedifferentsizes,5a70f733c2eb6c00017e1ad1,17e1ad1,59m03Ubo.txt,17e1ad1,3.772898861,2,1,y
8,Thesectioninthebottomleft,5b2199c0cd0abe00014fa68e,14fa68e,5Rf1HEso.txt,1cd6f2e,5.135962748,2,2,y
12,1,5ba7af8e3c7a05000198e48e,198e48e,CpmJVXtm.txt,198e48e,3.468901821,2,,y
13,"themiddleshapesonthecorneroftheobjectchanged,thesizeofthesmallerpieceontopchanged",5ae7b0713810080001c06873,1c06873,csKJ5uiQ.txt,1c06873,4.635382527,2,1.5,y
18,themiddlebottomobjectwasalwaysthedifferentone.,5a0908427542890001aa6a0d,1aa6a0d,DWiupgrU.txt,1aa6a0d,3.766132929,2,1,y
22,1,5ba7af8e3c7a05000198e48e,198e48e,h7bjRnCo.txt,198e48e,3.468901821,2,1,y
25,inoticedthetinysquareonthebottomleftchangedinsize,5ba9ea24ba2b540001cefadc,1cefadc,IgCfNSW7.txt,1cd6f2e,5.135962748,2,2,y
31,bottomleftdarkgreysection.Thetriangularpartchangedsize,566f7754b937e400122ce30a,22ce30a,mngb1VD5.txt,22ce30a,3.886256355,2,1,y
32,"thefirstone,wasthelargeendleftpolygon.last2itwasthesmallpolygonthatwasextrudingfromthelargerleftpolygon",5697e0217183b8000d0fc35c,d0fc35c,no53OB67.txt,d0fc35c,1.331253245,2,,y
35,Thebottomrightsquarewasgettingbiggerandsmaller.,5b9ff0220268410001cd6f2e,1cd6f2e,o7ysX0q6.txt,1cd6f2e,5.135962748,2,2,y
36,Therewasasmallshadow/protrusiononthesideoftherock.Onewasslightlylargerthantheother.,5bbeb9e16322c500015ae44c,15ae44c,oEugCEAo.txt,15ae44c,4.635382527,2,1.5,y
39,Thetwobottom-leftpolygonswereslightylargerorsmaller.,5b2fef03530770000105a8b2,105a8b2,pv05gag7.txt,1cd6f2e,5.135962748,2,2,y
49,There was a smallpieceattachedtoanoffshootofthefrontoftheobjectthatwouldchangeinsizeandshape,56168c897ffc8a000d8120dc,d8120dc,S7NLNizB.txt,d8120dc,3.221064965,2,1,y
53,Thelowerpiecesstickingoutweredifferent.,5743c964eb8ed0000ff798ac,ff798ac,VIsq85QZ.txt,ff798ac,2.771608265,2,,y
56,Thelittlesecondaryrockonthelowerleftrockonthebigrock.Itchangedinsize.,55ad1d55fdf99b4c8f9941d4,f9941d4,xxg13cCi.txt,f9941d4,4.635382527,2,1.5,y
