"","Gender","Age","Ethnicity","Race","SubID"
"1","F",21,"NHL","W","1cd6f2e"
"2","M",19,"NHL","W","113c150"
"3","F",20,"NHL","W","1563fbc"
"4","F",34,"NHL","W","1465c18"
"5","M",28,"NHL","W","1e506ec"
"6","M",20,"NHL","W","1c57828"
"7","F",31,"NHL","W","1d349a8"
"8","M",33,"NHL","W","17e1ad1"
"9","F",18,"NHL","A","1ff7d88"
"10","M",NA,"NHL","A","14fa68e"
"11","M",30,"NHL","W","1f75812"
"12","M",35,"NHL","W","151240e"
"13","M",27,"NHL","W","1f758f0"
"14","M",33,"NHL","W","198e48e"
"15","F",30,"NHL","W","1c06873"
"16","M",33,"NHL","O","1b9b5cf"
"17","F",22,"HL","W","11033a7"
"18","F",28,"NHL","W","10593eb"
"19","F",25,"NHL","W","1c744db"
"20","M",20,"NHL","W","1aa6a0d"
"21","M",21,"NHL","W","1d6393b"
"22","F",27,"NHL","W","1b83177"
"23","M",31,"NHL","W","1a389f3"
"24","M",33,"NHL","W","198e48e"
"25","F",21,"NHL","AA","16637d9"
"26","F",25,"NA","M","1867049"
"27","F",22,"HL","O","1cefadc"
"28","M",23,"NHL","W","1de7a7b"
"29","M",29,"NHL","W","10ea86e"
"30","M",30,"NHL","W","19982b6"
"31","F",28,"NHL","W","bd2d4eb"
"32","M",27,"NHL","W","13e0298"
"33","M",27,"NHL","A","22ce30a"
"34","F",27,"NHL","W","d0fc35c"
"35","M",34,"NHL","W","10608f0"
"36","F",34,"HL","W","19f91cd"
"37","F",21,"NHL","W","1cd6f2e"
"38","F",24,"NHL","W","15ae44c"
"39","F",34,"NHL","W","1624e57"
"40","M",22,"HL","W","1e1989b"
"41","M",26,"NHL","W","105a8b2"
"42","M",28,"NHL","W","1e506ec"
"43","M",23,"NHL","W","1de7a7b"
"44","M",30,"NHL","W","6385bb4"
"45","F",22,"HL","W","11033a7"
"46","M",21,"NHL","W","10a7c78"
"47","M",NA,"NHL","W","10fb247"
"48","F",21,"NHL","W","1dda951"
"49","M",31,"NHL","W","edd2cf1"
"50","M",21,"HL","W","1fa772d"
"51","F",30,"NHL","AA","d8120dc"
"52","F",NA,"NA","M","1867049"
"53","M",27,"NHL","W","13e0298"
"54","F",25,"NHL","M","18b66bc"
"55","M",28,"NHL","AA","ff798ac"
"56","F",26,"NHL","W","1094125"
"57","M",27,"NHL","A","1adca49"
"58","F",34,"NHL","W","f9941d4"
"59","M",27,"NA","W","1408e1b"
