"","post_surve","prolificID","SubID","confirm_code"
"1","Thebottomtrianglepartinthedarkbottomrightpeicethatstuckout.Itchangedsize,whichIthinkithad3differentsizes.","5b9ff0220268410001cd6f2e","1cd6f2e","0FkmwtmZ.txt"
"2","Therewasagreycube.Onthecubewerethreedifferentgrowths.Thegrowthonmyperspective'sleftsidehadasmaller,sharperpiece.Thesharperpiecegrewandshrunkinlength.","5bc5fe53a7b320000113c150","113c150","0fqu9Qmn.txt"
"3","thepyramid-likestructureontheleftoftheobject","5a8d42df1904200001563fbc","1563fbc","2dZqVw4K.txt"
"4","Theshadowinthemiddleofthetopbulge","5b53e95f4bbe600001465c18","1465c18","31xNRZOw.txt"
"5","hetoprockshapedtriangle","5b1b75312767e20001e506ec","1e506ec","36DK9cXB.txt"
"6","Iamnotsure,Ibelieveitwasoneoftheanglesortheshadows","5b84911bdb11320001c57828","1c57828","3QA0P2bm.txt"
"7","Therewasatriangleonnearthetopleftoftheobjectthatkeptchangingsize","589e989ce6afe00001d349a8","1d349a8","3TOwsKUz.txt"
"8","oneofthebumpswasthreedifferentsizes","5a70f733c2eb6c00017e1ad1","17e1ad1","59m03Ubo.txt"
"9","themiddledarkprotrusionontheleftside.","5aed0f08aa05510001ff7d88","1ff7d88","5MCx4B2M.txt"
"10","Thesectioninthebottomleft","5b2199c0cd0abe00014fa68e","14fa68e","5Rf1HEso.txt"
"11","Ifocusedmainlyontheupperleftdarkerportionoftheobjectwhichhadvaryingwidths/angles.","5bad1b21defccb0001f75812","1f75812","6mklzUmA.txt"
"12","Therewasapartinthelowerleftthatjuttedoutalittlemoreorlesssometimes.","59dc458f77860e000151240e","151240e","76QPB3Iy.txt"
"13","Thelowestgreynodeontherock","5bc2767f7301b10001f758f0","1f758f0","A8h5GCRl.txt"
"14","1","5ba7af8e3c7a05000198e48e","198e48e","CpmJVXtm.txt"
"15","themiddleshapesonthecorneroftheobjectchanged,thesizeofthesmallerpieceontopchanged","5ae7b0713810080001c06873","1c06873","csKJ5uiQ.txt"
