"","X","post_surve","prolificID","SubID","confirm_code","basic_id","d_p","feature"
"1",1,"Thebottomtwosectionshaddifferentsizedramps.","59be1fac3a9ab60001119c1a","1119c1a","0HdPbnAq.txt","1119c1a",0.490842415116166,1
"2",2,"UPPERPARTOFTHEOBJECTS","5b9511e756dc3c00013599c4","13599c4","19skdGVv.txt","1119c1a",0.490842415116166,1
"3",3,"Rightmostouterbottomshapewidth","5ab1677246e6e70001ae267d","1ae267d","25jFTFgj.txt","1ae267d",3.88296889242929,2
"4",4,"smalltriangleonthetop","5ba0795124593f000174f263","174f263","3Prs8ybO.txt","174f263",4.15867546572946,3
"5",5,"frontmostextrusionontheleftsideoftheimage","558833f7fdf99b3a56b47f38","6b47f38","4sELEI1X.txt","6b47f38",2.92928743747392,1
"6",6,"triangleshapeonlefthandprotrusiononobjectvariedinsize","58a6597ba7d45800010438bd","10438bd","5HL2YS1b.txt","10438bd",4.44953874685146,3
"7",7,"theobjectontherightwasalwaysdifferent...theothertwostayedthesamethroughout","59c10e885c50560001df9302","1df9302","5IPa5jN8.txt","1df9302",4.44953874685146,2
"8",8,"Thebottomrightdetailedblob.","5ad2413e459c3500011370b2","11370b2","5y8u6oGH.txt","11370b2",2.66928075271222,2
"9",9,"Therewasashadowareaonthetopformation,whichvariedinsize.","55cb92aafdf99b45e4bb1165","4bb1165","6GU17AQB.txt","4bb1165",2.41376883351216,3
"10",10,"Theshadingonthetopbumpoftherock","5baa8309dcd2e00001c9996b","1c9996b","7F2fBOWW.txt","1c9996b",3.64192593633409,3
"11",11,"initsshapeandsize","592b56cbda597300010f4080","10f4080","7IrOF4Bh.txt","10f4080",3.88296889242929,3
"12",12,"Topleft,Iwaslookingatthesizeofthetriangle,aswellasthesizeofthedarkportioninthebottomrightofthetopleftobject","5a96b808f6dfdd0001ea6a38","1ea6a38","8kjf1Fma.txt","1ea6a38",3.88296889242929,3
"13",13,"thebottomlittlerocksthatwerestickingoutweredifferentsizessometimes","593d38ef06c3b80001d673f8","1d673f8","9AcoOHoV.txt","1d673f8",2.30897375215877,2
"14",14,"thebottomrightshapeprotrudingfromthelargershapehadfourdifferentsizes","5b968623ed8d510001716fec","1716fec","aBS7HRtT.txt","1716fec",3.88296889242929,2
"15",15,"farthestbottom/rightprotrusion,thelowerprotrusionwasofvaryingsizes/locationsonthepartnexttoit","56f55bc0736c79000c223b3d","c223b3d","aOlXVBTC.txt","c223b3d",4.44953874685146,2
"16",16,"Thebottomrightsurfaceoftherockchangedwhiletheothersremainedconstant.Onthissurface,theoverlappingpieceofrockvariedinsizes,typicallyfromasmall,mediumtolargepattern,withslightincreasesordecreasesinwidtharoundthesethreesizes.","5bb1c7db70f8df0001bee965","1bee965","aXKMdike.txt","1bee965",4.44953874685146,2
"17",17,"theobjectontherightsideshadowsandedges","5a72662482968f0001a6c98e","1a6c98e","bnsLn24F.txt","1a6c98e",4.15314219228481,1
"18",18,"bottomleftrock","5badb2a179a3c30001545656","1545656","bxJYpBPh.txt","1545656",4.44953874685146,1
"19",19,"Thedifferencewastherightpartoftheobjects.","5ba544e9bbc65900011967ad","11967ad","cJ6fgTlC.txt","11967ad",3.04231167667022,2
"20",20,"Thetrianglesintheoddshapeatthetop","5746f1955e549100063b3c45","63b3c45","cmxn5sni.txt","63b3c45",3.4549726565295,3
"21",21,"Thesmallshadowatthetopofthesalientpointdiffered.","5b564680ed90280001510d9a","1510d9a","cpMOLiNy.txt","1510d9a",3.55997191593085,3
"22",22,"Inthelowerrightclusterthebottomobjectwouldvarythrough4or5sizes","5b9eddfed259900001106b05","1106b05","d3XcAb5M.txt","1106b05",3.87026235698071,2
"23",23,"Iamstillunsure.","5bc4ca243a56ca00017eb20f","17eb20f","djJP54mS.txt","17eb20f",-0.0642286768630074,3
"24",24,"theylookedprettymuchthesame","5a53e59af6c5170001949a39","1949a39","dzOI2P8h.txt","1949a39",-1.17136921198382,2
"25",25,"onepartinthelowerrightsidedifferedinsize.","5bb916573384ba0001f9414c","1f9414c","Es2bcgKg.txt","1f9414c",4.44953874685146,1
"26",26,"Thetriangularshapeinthemiddletotheleft","5ab6664d892136000182eced","182eced","f0SbUoOv.txt","182eced",2.69964308935529,1
"27",27,"Thetriangleintheshapeontheupperleft.","5acb82c4e734400001da7c0d","1da7c0d","GL7eEeXs.txt","1da7c0d",4.16240548711139,3
"28",28,"Thesizeoftheattachedrocks","5b0b41ad444cef0001ca3c4b","1ca3c4b","gPdXfCtm.txt","1ca3c4b",1.84077000570735,1
"29",29,"leftrockonmiddlerowwouldchangebetweenpairs","5aea351112ed990001f873c3","1f873c3","IODKl4Md.txt","1f873c3",3.83940851061295,1
"30",30,"thebottomrightprotrutionwasdifferent","5ba6a5a87c0ebe000126d650","126d650","IThD99zr.txt","126d650",0.577856659357647,2
"31",31,"thecentralformationofrocksonthesurface.","58043bb3bd8a970001fdef44","1fdef44","JD1FdHaH.txt","1fdef44",2.41376883351216,1
"32",32,"Thesmalltrianglewithinthetoprocklikestructureoneachlargestructure.","5acb52a2fa3b4e000173ab26","173ab26","JF5IQkVw.txt","173ab26",3.85774094946916,3
"33",33,"Iwaslookingattheshadows.","55e1e437ac274f0005e95a48","5e95a48","mA9JTkNv.txt","5e95a48",2.67679964010147,3
"34",34,"Oneoftheshapesonthelowerrightchangedsize/shape.","5a8d4e3e5292b800012344b0","12344b0","MgO2C0mK.txt","12344b0",1.38954878239223,2
"35",35,"Thetriangularprismatthebottomleftchangedinsize.","5b036a88c66dc600019803b3","19803b3","MOYoGUcL.txt","19803b3",2.92928743747392,1
"36",36,"outermostbulgeonlowerleftform","5b93dc9122c7ef0001791002","1791002","mOZCj9OC.txt","1791002",4.44953874685146,1
"37",37,"thetopshapeofthethree,firstInoticedadifferenceinsizeandthenprogressivelytheedgesandshadows.","5b8d6ff54f3d5f0001ad91bb","1ad91bb","mRvHIFXv.txt","1ad91bb",3.32775951520752,3
"38",38,"Spineandshadowonthelowerleftclusteronthemainrock.","5ba47c29d1ff7a00013d1a8a","13d1a8a","mtqCwu6W.txt","13d1a8a",3.84631426302926,1
"39",39,"Theshapeoftheextrusionsfromthemainbody","5acacdcd0527ba0001c24bad","1c24bad","N5kWX6ku.txt","1119c1a",0.490842415116166,1
"40",40,"thebottomrightrockformationvariedinwidth","5ba9779c4a16920001d48123","1d48123","ndkSBaIq.txt","1d48123",4.44953874685146,2
"41",41,"Shape","5a5aa53be0cf3d000126790a","126790a","nFcgVwjS.txt","126790a",0.445314310806684,3
"42",42,"Theshading","59c3d1dd5364260001dc4e64","1dc4e64","nG0HYo17.txt","1dc4e64",0.911691859524869,3
"43",43,"thetoppartthatstuckoutfromthemainimage","56e1c4f46ce054000b400a34","b400a34","nHLRW7ZN.txt","b400a34",2.70227468062962,3
"44",44,"Theshape(lightergreyshaded)onthetopleftoutcroppingoftheobject","590819e205fbfc000147720c","147720c","oiR3M7VP.txt","147720c",3.62781691464506,3
"45",45,"unsure","5b0f80bf1e55760001b9af76","1b9af76","OTIk45es.txt","1b9af76",1.12610478831374,3
"46",46,"Thesizeofoneoftheshapesontheleftsideoftherock.","5ba83c3e48f4400001e201dd","1e201dd","OwsUbY9c.txt","1e201dd",4.16240548711139,1
"47",47,"Iwasmainlyfocusingonthebottomrightshapeonthebiggershape.Thatoneseemedtochange.","5ba8f6d89533420001c4646c","1c4646c","p5UZYrVI.txt","1c4646c",2.2860258810179,1
"48",48,"Thepiecetothebottomleftofthescreenwouldincreaseordecreaseinsize.","5b81b715db11320001c50b4a","1c50b4a","PccvIbTz.txt","1c50b4a",2.87243815397378,1
"49",49,"apointontheleft/middlechangedinsize","5b60e0c41f5224000167756b","167756b","PqVubSKb.txt","167756b",2.47520827023682,1
"50",50,"thesmallerblockonthefrontofthemainshape","5aeb561495ce7000013258cc","13258cc","PX7Dodqm.txt","13258cc",3.61855361981848,1
"51",51,"oneofthelowerrightpieceschanged","A2S5MPD6GPQYU6","","PXS3MQYW.txt","",1.3004932834622,2
"52",52,"Thepartthatwasdifferentwasarockbumpformationontherightoftheoverallrock.","5a4c3c2787c6f8000137d18e","137d18e","pYZeLI9R.txt","137d18e",2.65662314083871,2
"53",53,"Theshadow/highlightonthetoprockformation.","5b18a8bd68a5ed0001734a38","1734a38","qcMn4Ze5.txt","1734a38",3.83014521578637,3
"54",54,"Onthebottomrightnodulebit,thebottompartwasbigger,smallerornotthere.","5aeacc45d9f2be00019341ae","19341ae","QgHS5ZU2.txt","19341ae",4.44953874685146,2
"55",55,"Thepartonthetopleft","5b6a05d801287900016c2235","16c2235","rDF4ByLt.txt","16c2235",4.16240548711139,3
"56",56,"Thesize,andplacementofthedarkgreyobjectinthetopleft","5b0b43f4d282ff00015b70cc","15b70cc","rdhFTwvj.txt","15b70cc",2.91236797767216,3
"57",57,"thesizesoftheattachedrock","5bb917f53ea7ed00017ca5fb","17ca5fb","ScgPBvxK.txt","17ca5fb",3.24761071323065,1
"58",58,"Thedarkergreyformationonthebottomright,thesizeandshapeofthepartthathungthelowestchangedshapeandsize.","5b2f798f6d601d0001d5d204","1d5d204","sUOewP5h.txt","1d5d204",2.41376883351216,2
"59",59,"Therewasablackspeckareaintheobjectstickingoutofthetopleft.Itriedtonoticechangesinthatspecificarea","56f7982b35c4760006278c61","6278c61","T4OMEeYR.txt","6278c61",1.71974951022093,3
"60",60,"Thewidthofthedarkprotrusiononthelowerrightpart.","5a6a206f3fb6420001c2d9ef","1c2d9ef","TNLwuHdR.txt","1119c1a",0.490842415116166,1
"61",61,"Thefrontrightpartsightlywentlargerorsmaller","5b9dd322f074140001050095","1050095","TuzJFxVn.txt","1050095",1.11723328759463,2
"62",62,"Thetopgreyrockhadthetoprightcorneranditsrightsidechangebetweenpairs","5af107100eca060001b13ff2","1b13ff2","tzaqueZt.txt","1b13ff2",2.25770675761242,3
"63",63,"nothing","59b1986ac05bb50001eb3a5f","1eb3a5f","U8cC1Oqd.txt","1eb3a5f",-0.0380342492689186,3
"64",64,"Bottomrightrock,lowerportionofthepair(differedfromsmall,medium,andlarge)","5b91ce93cc81a400017a31ed","17a31ed","uXsKnlaf.txt","17a31ed",2.88839123606935,2
"65",65,"Thebottomrightportionthatjuttedoutvariedinshape","5b8f441685ca600001d15b83","1d15b83","uY6B1V9q.txt","1d15b83",0.907501441929658,2
"66",66,"thepolygonsonthesurfaceofthemainshape?","5a9b3f81873cda0001dcb475","1dcb475","vLB9fvw2.txt","1dcb475",0.643396000754901,2
"67",67,"thelightcolouredtriangleonthetoprock","5ae71b1c0c9ae1000154a406","154a406","vUONeZDH.txt","154a406",3.18479935667398,3
"68",68,"theshadowonthebottomleftsideoftheobject","5b9eced80611410001070d1e","1070d1e","vwEuK7sA.txt","1070d1e",3.55997191593085,1
"69",69,"thesizeorthelowerrightprotrusionontherocklikeobject","5b00c4f74f435000018c5049","18c5049","vXqI5DXu.txt","18c5049",2.87243815397378,2
"70",70,"thetriangleontheleftdarkerspot","5b662445d6505f0001919e5c","1919e5c","VxvYwiML.txt","1919e5c",4.44953874685146,1
"71",71,"topleftthingy","5b79c406efca4f000175a5ad","175a5ad","X4rMa9sE.txt","175a5ad",4.43811206041156,3
"72",72,"Thelowersectionoftheobstacles.","5b83ee372d5deb0001b315b0","1b315b0","X5UxFb3d.txt","1b315b0",3.17455226319703,2
"73",73,"piecesofthebottomleftstructure","57d0a0bee3221e00015fe385","15fe385","xBwWd362.txt","15fe385",2.51001242751999,1
"74",74,"Theobjectsofthebottomweredifferent","5b9c270f12dc2f0001ac933e","1ac933e","XrdTFzBG.txt","1ac933e",3.77374608681837,1
"75",75,"thesmallobjectsonthebiggerobjects","5b0ef5a630037f0001d0ff4b","1d0ff4b","XTqadFWq.txt","1d0ff4b",0.196808046305551,1
"76",76,"Theveryfirstimagewasarockwith4outcroppings,thesecondandeverysinglepictureafterthatwereidenticalrockswithonly3outcroppings.","5ac033fa68b65b00018d2c1a","18d2c1a","xUkxDcHw.txt","18d2c1a",NA,2
"77",77,"oneofthepartsthatstuckout,lowerrightside","5b2ab72dc293b9000173325b","173325b","Y8H908YG.txt","173325b",1.59072136987855,2
"78",78,"Oneofthesmallrock-likethingshadachangingtriangle.","5ba8d79a7a424c0001b47812","1b47812","YbtAAYXS.txt","1b47812",4.16240548711139,3
"79",79,"ican'tfigureitoutbuttheshadowlookeddifferent","5aca54f4f69e940001d9ad2f","1d9ad2f","Z1PKNGAO.txt","1119c1a",0.490842415116166,1
"80",80,"Rockpieces","5b9a903207c6960001612848","1612848","ZMR6P90p.txt","1119c1a",0.490842415116166,1
