"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"2",1,1,502,3,3,3,"1464f8d",1,1
"3",1,1,411,4,4,3,"1464f8d",2,1
"4",1,1,476,6,6,3,"1464f8d",3,1
"5",1,0,370,1,2,3,"1464f8d",4,1
"6",1,1,251,1,1,3,"1464f8d",5,1
"7",-1,-1,0,3,1,3,"1464f8d",6,1
"8",-1,-1,0,6,1,3,"1464f8d",7,1
"9",0,1,269,1,5,3,"1464f8d",8,1
"10",1,1,4,5,5,3,"1464f8d",9,1
"11",1,0,233,4,1,3,"1464f8d",10,1
"12",1,1,104,2,2,3,"1464f8d",11,1
"13",1,1,86,1,1,3,"1464f8d",12,1
"14",1,1,168,6,6,3,"1464f8d",13,1
"15",1,1,186,3,3,3,"1464f8d",14,1
"16",1,0,11,1,2,3,"1464f8d",15,1
"17",0,1,185,6,1,3,"1464f8d",16,1
"18",0,1,498,1,4,3,"1464f8d",17,1
"19",1,1,269,5,5,3,"1464f8d",18,1
"20",1,1,14,2,2,3,"1464f8d",19,1
"21",1,0,271,1,3,3,"1464f8d",20,1
"22",1,1,182,4,4,3,"1464f8d",21,1
"23",0,1,298,1,5,3,"1464f8d",22,1
"24",1,0,251,2,1,3,"1464f8d",23,1
"25",1,1,116,2,2,3,"1464f8d",24,1
"26",1,1,279,1,1,3,"1464f8d",25,1
"27",0,1,148,3,1,3,"1464f8d",26,1
"28",0,1,118,1,6,3,"1464f8d",27,1
"29",0,0,216,3,3,3,"1464f8d",28,1
"30",1,1,130,5,5,3,"1464f8d",29,1
"31",0,1,174,5,1,3,"1464f8d",30,1
"32",0,1,39,1,4,3,"1464f8d",31,1
"33",1,1,367,4,4,3,"1464f8d",32,1
"34",1,1,213,6,6,3,"1464f8d",33,1
"35",1,0,265,2,1,3,"1464f8d",34,1
"36",1,1,144,2,2,3,"1464f8d",35,1
"37",1,1,100,5,5,3,"1464f8d",36,1
"38",0,1,377,1,4,3,"1464f8d",37,1
"39",0,1,271,3,1,3,"1464f8d",38,1
"40",1,1,325,4,4,3,"1464f8d",39,1
"41",1,1,210,3,3,3,"1464f8d",40,1
"42",0,1,115,1,6,3,"1464f8d",41,1
"43",1,1,91,6,6,3,"1464f8d",42,1
"44",0,1,53,5,1,3,"1464f8d",43,1
"45",1,1,560,1,1,3,"1464f8d",44,1
"46",0,1,124,1,2,3,"1464f8d",45,1
"47",1,1,7,4,4,3,"1464f8d",46,1
"48",1,1,116,2,2,3,"1464f8d",47,1
"49",0,1,466,1,6,3,"1464f8d",48,1
"50",0,1,317,5,1,3,"1464f8d",49,1
"51",1,1,123,6,6,3,"1464f8d",50,1
"52",1,1,273,1,1,3,"1464f8d",51,1
"53",1,1,107,3,3,3,"1464f8d",52,1
"54",0,1,163,3,1,3,"1464f8d",53,1
"55",0,1,132,4,1,3,"1464f8d",54,1
"56",1,1,83,5,5,3,"1464f8d",55,1
"57",0,1,525,3,1,3,"1464f8d",56,1
"58",1,1,179,5,5,3,"1464f8d",57,1
"59",0,1,154,1,6,3,"1464f8d",58,1
"60",1,1,359,4,4,3,"1464f8d",59,1
"61",1,1,470,1,1,3,"1464f8d",60,1
"62",1,1,214,3,3,3,"1464f8d",61,1
"63",1,0,154,1,2,3,"1464f8d",62,1
"64",0,1,421,1,5,3,"1464f8d",63,1
"65",1,1,114,6,6,3,"1464f8d",64,1
"66",0,1,235,4,1,3,"1464f8d",65,1
"67",1,1,47,2,2,3,"1464f8d",66,1
"68",1,1,53,6,6,3,"1464f8d",67,1
"69",1,1,530,1,1,3,"1464f8d",68,1
