"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"2",1,0,838,6,1,26,"128df7d",1,1
"3",1,0,507,5,1,26,"128df7d",2,1
"4",0,1,465,1,4,26,"128df7d",3,1
"5",1,1,411,1,1,26,"128df7d",4,1
"6",1,1,413,4,4,26,"128df7d",5,1
"7",0,0,360,6,6,26,"128df7d",6,1
"8",1,1,382,5,5,26,"128df7d",7,1
"9",0,1,364,5,1,26,"128df7d",8,1
"10",1,1,351,1,1,26,"128df7d",9,1
"11",1,1,329,6,6,26,"128df7d",10,1
"12",1,1,383,4,4,26,"128df7d",11,1
"13",1,1,446,5,5,26,"128df7d",12,1
"14",0,1,399,1,4,26,"128df7d",13,1
"15",0,1,425,6,1,26,"128df7d",14,1
"16",1,1,507,4,4,26,"128df7d",15,1
"17",1,1,438,1,1,26,"128df7d",16,1
"18",1,1,372,6,6,26,"128df7d",17,1
"19",0,1,441,5,1,26,"128df7d",18,1
"20",0,1,535,6,1,26,"128df7d",19,1
"21",1,1,442,5,5,26,"128df7d",20,1
"22",0,1,454,1,4,26,"128df7d",21,1
"23",0,1,353,4,1,26,"128df7d",22,1
"24",1,1,341,6,6,26,"128df7d",23,1
"25",1,1,315,5,5,26,"128df7d",24,1
"26",0,1,329,6,1,26,"128df7d",25,1
"27",1,1,261,1,1,26,"128df7d",26,1
"28",1,1,612,4,4,26,"128df7d",27,1
"29",0,1,296,1,5,26,"128df7d",28,1
"30",0,1,386,4,1,26,"128df7d",29,1
"31",0,1,374,5,1,26,"128df7d",30,1
"32",1,1,325,5,5,26,"128df7d",31,1
"33",0,1,441,1,6,26,"128df7d",32,1
"34",1,1,371,6,6,26,"128df7d",33,1
"35",1,1,433,1,1,26,"128df7d",34,1
"36",1,1,266,4,4,26,"128df7d",35,1
"37",0,1,396,1,6,26,"128df7d",36,1
"38",1,1,350,6,6,26,"128df7d",37,1
"39",1,1,419,4,4,26,"128df7d",38,1
"40",1,1,452,1,1,26,"128df7d",39,1
"41",0,1,284,4,1,26,"128df7d",40,1
"42",1,1,288,5,5,26,"128df7d",41,1
"43",0,1,330,1,5,26,"128df7d",42,1
"44",1,1,329,4,4,26,"128df7d",43,1
"45",1,1,312,6,6,26,"128df7d",44,1
"46",1,1,315,5,5,26,"128df7d",45,1
"47",0,1,379,1,6,26,"128df7d",46,1
"48",1,1,349,1,1,26,"128df7d",47,1
"49",0,1,362,5,1,26,"128df7d",48,1
"50",0,1,296,1,4,26,"128df7d",49,1
"51",1,1,266,6,6,26,"128df7d",50,1
"52",1,1,249,1,1,26,"128df7d",51,1
"53",0,1,478,4,1,26,"128df7d",52,1
