"","Gender","Age","Ethnicity","Race","SubID"
"1","F",21,"NHL","W","128df7d"
"2","F",28,"NHL","W","65cd4f1"
"3","M",29,"NHL","W","1108ddc"
"4","M",21,"NHL","AA","1dd4cfa"
"5","M",25,"NHL","W","1135ce2"
"6","M",18,"NHL","AA","189ce44"
"7","F",23,"NHL","W","asdiffe"
"8","F",18,"NHL","A","13174f3"
"9","F",28,"NHL","AA","hangesi"
"10","F",27,"NHL","AA","15b937c"
"11","M",22,"NHL","W","13a8429"
"12","M",25,"NHL","W","1620453"
"13","F",32,"HL","W","100f9fb"
"14","M",22,"NHL","W","1ef38c7"
"15","M",20,"NHL","W","1448753"
"16","F",19,"NHL","M","18f720c"
"17","F",26,"NHL","W","1732b3e"
"18","M",26,"NHL","W","1cd118a"
"19","F",24,"NHL","W","1649d75"
"20","M",35,"NHL","W","1d18ceb"
"21","M",27,"NHL","M","1976444"
"22","M",24,"NHL","W","1cd6656"
"23","F",26,"NHL","W","1997259"
"24","F",30,"NHL","W","1624ff5"
"25","F",22,"NHL","W","1ceb87b"
"26","M",19,"NHL","A","18409f5"
"27","F",18,"HL","AI","10eebb8"
"28","M",18,"NHL","A","1435c1e"
"29","M",19,"NHL","M","1f0d2b1"
