"","X","post_surve","prolificID","SubID","confirm_code","basic_id","d_p","feature"
"1",1,"Theleftmostofthetwobulgingpartsinthemiddle","5b535ae8303c33000165b4af","165b4af","488Wjw90.txt","165b4af",4.61941473297328,1
"2",2,"thesizeofasmallrockconnectingtoabigrockonthefrontcenter","5afa556fe066a400011398c0","11398c0","5Njg5cMR.txt","11398c0",4.36944796178993,2
"3",3,"Theupperdarkstone.Iusedthetoprightpointtodifferentiatebetweenthem.","55a846b0fdf99b058cb28312","cb28312","9F504jhs.txt","cb28312",4.63538252742346,3
"4",4,"theshadowonthetoprock","5aeb4e9b08e2f00001083199","1083199","abwLgtf9.txt","1083199",0.379982701573971,3
"5",5,"Thesmallrocksclosetothebottom","5b5a29136fc6bb0001d3ba83","1d3ba83","aqC18A1J.txt","1d3ba83",3.27344610675437,2
"6",6,"theimageontopofthebottomright","5b287e86a1bdd30001391039","1391039","bLDYMXpe.txt","1391039",4.03883342676998,2
"7",7,"therewasasmallpieceonthedarkergreypiece(theoneinthemiddle)thatwouldchangesizes.","59fe447c7542890001aa606e","1aa606e","Caxfe0Rs.txt","1aa606e",3.53815827808836,1
"8",8,"thetopofoneoftherocksgotbiggerandsmaller","5a8c9bdd8fe2dc0001064221","1064221","cwZeMxP5.txt","1064221",2.39397979981851,3
"9",9,"theplanesoftheobject,andthentheshapeandplacementoftheobjectontop","5817fda1b780e20001f3577a","1f3577a","EwxFFxFF.txt","1f3577a",0.51026077055225,3
"10",10,"theshapethewasinthecentre","5b13ad5de9270900013c4f73","13c4f73","FOhGPN5l.txt","13c4f73",4.6292116253173,2
"11",11,"Thesmallrocksontherightwerechanginginwidth.","5b9713588e5b7b00010e1357","10e1357","GNv2n7Aj.txt","10e1357",3.07622311761185,2
"12",12,"IwouldsaythatthewidthwasthemaindifferencethatInoticed.","594d4f0aa186be000114ce1d","114ce1d","Gt0uLZ1p.txt","114ce1d",4.35394378435856,2
"13",13,"Thewidthoftherockthatwasconnectedtotheotherrockchanged.","5b639ebd7584240001421064","1421064","ILZ80sOf.txt","1421064",4.35394378435856,2
"14",14,"Theyhaddifferentlysized,shapedshardsofrockonthem","58620a55db3e720001e22778","1e22778","IqXf7jJ1.txt","1e22778",3.77289886113646,1
"15",15,"Asmallprojection(center-leftoftheobject,straddlingavertex)hadthreediamondwedge-shapedprojectionsofvaryingsizes.","5581d02dfdf99b59ca8dfb3a","a8dfb3a","Iy4lp1pw.txt","a8dfb3a",4.34777288225241,1
"16",16,"Itseemedlikedifferentshadesofgraywereused.","5b6e62ce885b0b0001bafbb8","1bafbb8","lBW4I45r.txt","1bafbb8",-0.11735246904408,3
"17",17,"theleftsidesmallshardwouldchangeinsize","5b4c596ee225fc0001ea5252","1ea5252","MX0aCdPm.txt","1ea5252",2.48647486052439,1
"18",18,"Thedarkspotatthetopoftheobjectchangedsize.Also,theshapeconnectingnearthetopparthadananglethatgotsharptoapointthenopensabitintoarectangle.","5b3e2334cdb4ce0001d93c51","1d93c51","NfaPHScM.txt","1d93c51",3.47876826276739,3
"19",19,"theshapesandshadeswereprimarilydifferent,andtheirsizes","572d2656109ab6000f514e48","f514e48","nuxJZ2b1.txt","f514e48",0.0534235406855628,3
"20",20,"Smallfour-sidedpieceontopofalargerpieceonfrontfaceofobject","58a17db73968420001373ef5","1373ef5","oI4eqm0A.txt","1373ef5",4.35394378435856,2
"21",21,"itwasarhombusthatkeptchangingsizesandwasnearthemiddleleftoftheobject","5b315df35ec88400018d2309","18d2309","OsPQGIqb.txt","165b4af",4.61941473297328,1
"22",22,"Therewasanobjectonthemiddlesectionthatchangedbetween3-4differentsizes.","5b0a1b62641b1200010eaef3","10eaef3","tJCt8NoN.txt","10eaef3",4.33191131067134,1
"23",23,"therightshadowonthetoprock","5b27ef8a7f7816000146499f","146499f","uZGQXbYA.txt","146499f",4.63538252742346,3
"24",24,"Thesmallerelementonthefrontalsurface.","5a80f874b093f80001a7b1b4","1a7b1b4","VWtaZAAA.txt","1a7b1b4",4.34777288225241,2
"25",25,"theshapeoftheraisedportiononthelowerleftsection","5a7e02cc000dab00018c5e3c","18c5e3c","xfF6zgWA.txt","18c5e3c",4.63538252742346,1
"26",26,"bottomrightcornerofthetopobject","5b47f79ef464d400013b8210","13b8210","yVFSJ4IG.txt","13b8210",1.81104354228473,3
