"","post_surve","prolificID","SubID"
"1","Thetriangleinthebottomleftcorner.","56e0daeb8b1c33000c388660",1
"2","Thetoprightcornerblockandtheoverallshapeofthefigure.","5b731c174dfb520001c92564",2
"3","Theshade","5a244011faebab000174bf9f",3
"4","themaincubethingbutveryslightly","5af1180c5bbd0b00015ec22f",4
"5","Thebottomleftpartoftheobject","5a69629c35f26b0001499826",6
"6","Shadows","5ab6664d892136000182eced",8
"7","shadows?","55b03981fdf99b6625d1b53f",9
"8","Theshadowswerechanging","5b490f45d4c93b00019bedd2",10
"9","NAdonotknow","5a663d1913898300014b6387",11
"10","Theshadows","5ab15b9324ba100001a046e4",12
"11","Thecenteroftheimage--theblockinthebottommiddlewouldchangeshapeslightly,andwouldsometimesbemorecon-curvedormoreflat","5a9fc2b66475f90001a0219a",13
"12","Theyalllookthesame","5a4aef0b56ec1100014a3e76",14
"13","theshape","55b1c49cfdf99b75fe671fab",15
"14","Allofit","597798fc68264c0001c491ee",16
"15","theshadowsNAthink","5a91b1d389de8200013eae9e",17
"16","IhonestlyhavenoclueIreallycouldn'ttellbutitwasabiggrayrockwithlumpsonit","5ad52dbafaa35e0001b90112",18
"17","angle","59c0b29d8e6ea10001f7b1d8",19
"18","Theupperleftpartofthedarkgrayobject","575aee8152c3fe00091a6252",20
"19","Theboarder","57bf2f693aa21900017f7ae6",21
"20","bottomleftoverhang","5ad3eea3d9f7470001db2ad0",22
"21","Thesideofthecube/shape(biggestonethatalltheothershapesaremountedon)","5a99ed416475f900019fef88",23
"22","Ibelieveboththelowerleftquadrilateralandthelowermiddlequadrilateralwerechanging.","5aa5e1c61eda41000136d40c",24
"23","theshadowandthebox","5b04985ac573030001c386ef",25
"24","formageometrica","5a438b8b58be2b000198422e",26
"25","Nothing.Icouldnotidentifywhatwaschanging","5ae332727742cb0001d2fb54",27
"26","Theoutedgeshape.","5a358aacc82921000136b770",28
"27","BottomLeftShadow","577ab18a78ca3700019ced62",29
"28","theshapeofthebox","573dacc5b3a71f00146e7d88",30
"29","Lowercenterblock","5aeb28c98336ac0001c1299d",31
"30","Thesidesandpartsthatstuckout","5a5bff9ff6c5170001951249",32
"31","bottomleft","565a3d24c51d430005875042",33
"32","theblockinthediagramatthebottom","5a1980eb5d06850001b00d84",34
"33","Iwasmostlyfocusedontheshadowofthelowerleftprotrusionandthesizeofthelowerrightandupper,top,rightprotrusion.","5b0df5bde9270900013bdf7f",35
"34","itwentsofastthatIcouldnottellmostofthetime.Ibelieveitmayhavebeenashadow","593495766bedf50001dc3015",36
"35","Identifyingwherethechangeintheobjectwas.Iwastryingtoaccountforachangeinthewholeobjectatfirst,butrealizedafterseveralwrongresponsesthatonlyasmallportionoftheobjectwaschanging.","5b62219c4b55290001c09860",37
"36","theshadowinthebottomleftcorner","5ad57f5c27c301000101d9c5",38
"37","Couldn'tfigureitout","5aeba2487ed546000157353a",39
"38","Thecenterpiece,Ibelieve?Thesmallcuboidthingonthemiddle,ontop.","5b74ec32376c160001b39a8e",40
"39","Noidea.Ineverdidfindit.Maybetheshadows.","5985fc9c631d0c0001499fb6",41
"40","Theshadows,Ibelieve","5a8ce1fcae9a0b0001aa2d11",42
