"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"2",1,1,244,6,6,3,"10a57b8",1,1
"3",1,1,467,5,5,3,"10a57b8",2,1
"4",1,0,264,1,6,3,"10a57b8",3,1
"5",1,0,272,4,1,3,"10a57b8",4,1
"6",1,1,331,1,1,3,"10a57b8",5,1
"7",0,1,296,5,1,3,"10a57b8",6,1
"8",1,1,295,4,4,3,"10a57b8",7,1
"9",0,1,348,5,1,3,"10a57b8",8,1
"10",1,1,271,5,5,3,"10a57b8",9,1
"11",1,1,250,6,6,3,"10a57b8",10,1
"12",1,0,201,1,6,3,"10a57b8",11,1
"13",0,0,276,4,4,3,"10a57b8",12,1
"14",1,1,391,1,1,3,"10a57b8",13,1
"15",0,1,278,4,1,3,"10a57b8",14,1
"16",0,1,284,1,5,3,"10a57b8",15,1
"17",1,0,304,1,6,3,"10a57b8",16,1
"18",0,0,341,5,5,3,"10a57b8",17,1
"19",0,0,271,4,4,3,"10a57b8",18,1
"20",1,1,177,1,1,3,"10a57b8",19,1
"21",1,0,286,1,4,3,"10a57b8",20,1
"22",0,0,224,6,6,3,"10a57b8",21,1
"23",1,1,256,5,5,3,"10a57b8",22,1
"24",0,1,258,6,1,3,"10a57b8",23,1
"25",1,1,266,6,6,3,"10a57b8",24,1
"26",0,1,838,1,4,3,"10a57b8",25,1
"27",1,1,271,1,1,3,"10a57b8",26,1
"28",1,1,944,4,4,3,"10a57b8",27,1
"29",0,1,291,5,1,3,"10a57b8",28,1
"30",0,1,283,1,4,3,"10a57b8",29,1
"31",1,1,236,4,4,3,"10a57b8",30,1
"32",0,1,412,1,6,3,"10a57b8",31,1
"33",1,1,151,6,6,3,"10a57b8",32,1
"34",0,1,196,1,5,3,"10a57b8",33,1
"35",1,1,269,5,5,3,"10a57b8",34,1
"36",1,1,262,1,1,3,"10a57b8",35,1
"37",0,1,257,6,1,3,"10a57b8",36,1
"38",0,1,430,1,4,3,"10a57b8",37,1
"39",0,1,283,1,5,3,"10a57b8",38,1
"40",1,1,123,5,5,3,"10a57b8",39,1
"41",1,1,180,1,1,3,"10a57b8",40,1
"42",1,1,269,6,6,3,"10a57b8",41,1
"43",1,1,278,4,4,3,"10a57b8",42,1
"44",0,1,130,1,5,3,"10a57b8",43,1
"45",1,1,432,1,1,3,"10a57b8",44,1
"46",1,1,216,4,4,3,"10a57b8",45,1
"47",0,1,132,4,1,3,"10a57b8",46,1
"48",1,0,65,6,1,3,"10a57b8",47,1
"49",1,1,185,5,5,3,"10a57b8",48,1
"50",1,1,85,6,6,3,"10a57b8",49,1
"51",1,1,230,5,5,3,"10a57b8",50,1
"52",0,1,292,1,6,3,"10a57b8",51,1
"53",1,1,363,1,1,3,"10a57b8",52,1
"54",1,1,197,6,6,3,"10a57b8",53,1
"55",1,1,420,4,4,3,"10a57b8",54,1
"56",0,1,273,5,1,3,"10a57b8",55,1
"57",0,1,229,4,1,3,"10a57b8",56,1
"58",1,1,593,1,1,3,"10a57b8",57,1
"59",1,1,340,5,5,3,"10a57b8",58,1
"60",1,1,279,4,4,3,"10a57b8",59,1
"61",0,1,475,1,4,3,"10a57b8",60,1
"62",0,1,238,5,1,3,"10a57b8",61,1
"63",0,1,219,1,6,3,"10a57b8",62,1
"64",1,1,37,6,6,3,"10a57b8",63,1
"65",0,1,469,6,1,3,"10a57b8",64,1
"66",1,1,68,5,5,3,"10a57b8",65,1
"67",1,1,341,1,1,3,"10a57b8",66,1
"68",1,1,120,4,4,3,"10a57b8",67,1
"69",0,1,321,4,1,3,"10a57b8",68,1
"70",1,1,152,6,6,3,"10a57b8",69,1
"71",0,1,416,5,1,3,"10a57b8",70,1
"210",1,0,75,4,1,2,"11368d9",1,1
"310",1,1,585,5,5,2,"11368d9",2,1
"410",1,1,351,1,1,2,"11368d9",3,1
"510",0,0,342,6,6,2,"11368d9",4,1
"610",0,1,292,1,5,2,"11368d9",5,1
"72",1,1,291,4,4,2,"11368d9",6,1
"81",0,1,396,1,6,2,"11368d9",7,1
"91",0,1,299,1,6,2,"11368d9",8,1
"101",0,1,401,1,4,2,"11368d9",9,1
"111",1,1,280,1,1,2,"11368d9",10,1
"121",1,1,406,4,4,2,"11368d9",11,1
"131",0,1,461,1,5,2,"11368d9",12,1
"141",1,1,298,6,6,2,"11368d9",13,1
"151",1,1,354,5,5,2,"11368d9",14,1
"161",0,1,369,1,4,2,"11368d9",15,1
"171",1,1,448,6,6,2,"11368d9",16,1
"181",1,1,393,5,5,2,"11368d9",17,1
"191",1,1,454,1,1,2,"11368d9",18,1
"201",0,1,301,6,1,2,"11368d9",19,1
"211",0,1,299,1,5,2,"11368d9",20,1
"221",1,1,279,4,4,2,"11368d9",21,1
"231",1,1,270,1,1,2,"11368d9",22,1
"241",0,1,420,1,4,2,"11368d9",23,1
"251",1,1,211,5,5,2,"11368d9",24,1
"261",1,1,289,6,6,2,"11368d9",25,1
"271",0,1,383,1,5,2,"11368d9",26,1
"281",1,1,315,4,4,2,"11368d9",27,1
"291",0,1,402,6,1,2,"11368d9",28,1
"301",0,1,343,6,1,2,"11368d9",29,1
"311",1,1,195,1,1,2,"11368d9",30,1
"321",0,1,308,1,4,2,"11368d9",31,1
"331",0,1,490,1,5,2,"11368d9",32,1
"341",1,1,288,5,5,2,"11368d9",33,1
"351",1,1,462,6,6,2,"11368d9",34,1
"361",1,1,609,4,4,2,"11368d9",35,1
"371",1,1,593,5,5,2,"11368d9",36,1
"381",0,1,541,1,4,2,"11368d9",37,1
"391",1,1,276,6,6,2,"11368d9",38,1
"401",1,1,431,1,1,2,"11368d9",39,1
"411",1,1,336,4,4,2,"11368d9",40,1
"421",0,1,301,5,1,2,"11368d9",41,1
"431",0,1,435,6,1,2,"11368d9",42,1
"441",1,1,499,5,5,2,"11368d9",43,1
"451",1,1,528,4,4,2,"11368d9",44,1
"461",0,1,262,4,1,2,"11368d9",45,1
"471",0,1,322,6,1,2,"11368d9",46,1
"481",1,1,250,1,1,2,"11368d9",47,1
"491",0,1,246,1,5,2,"11368d9",48,1
"501",1,1,43,6,6,2,"11368d9",49,1
"511",0,1,362,5,1,2,"11368d9",50,1
"521",1,1,232,1,1,2,"11368d9",51,1
"531",1,1,288,4,4,2,"11368d9",52,1
"541",0,1,108,4,1,2,"11368d9",53,1
"551",1,0,664,1,6,2,"11368d9",54,1
"561",1,1,279,6,6,2,"11368d9",55,1
"571",1,1,341,5,5,2,"11368d9",56,1
"581",1,1,66,4,4,2,"11368d9",57,1
"591",1,1,312,1,1,2,"11368d9",58,1
"601",0,1,364,1,6,2,"11368d9",59,1
"611",1,1,340,5,5,2,"11368d9",60,1
"621",0,1,297,4,1,2,"11368d9",61,1
"631",0,1,300,1,5,2,"11368d9",62,1
"641",1,1,462,6,6,2,"11368d9",63,1
"651",1,1,410,1,1,2,"11368d9",64,1
"661",0,1,418,6,1,2,"11368d9",65,1
"671",1,1,468,6,6,2,"11368d9",66,1
"681",1,1,317,5,5,2,"11368d9",67,1
"691",1,1,466,4,4,2,"11368d9",68,1
"701",0,1,380,1,4,2,"11368d9",69,1
"711",0,1,5,5,1,2,"11368d9",70,1
"212",1,0,586,6,1,1,"10eb4dc",1,1
"312",1,1,699,4,4,1,"10eb4dc",2,1
"412",1,1,520,1,1,1,"10eb4dc",3,1
"512",0,1,313,5,1,1,"10eb4dc",4,1
"612",1,1,399,6,6,1,"10eb4dc",5,1
"73",0,1,459,4,1,1,"10eb4dc",6,1
"82",1,1,325,5,5,1,"10eb4dc",7,1
"92",1,1,240,5,5,1,"10eb4dc",8,1
"102",0,1,266,6,1,1,"10eb4dc",9,1
"112",1,1,229,6,6,1,"10eb4dc",10,1
"122",1,1,219,1,1,1,"10eb4dc",11,1
"132",1,1,364,4,4,1,"10eb4dc",12,1
"142",0,1,323,4,1,1,"10eb4dc",13,1
"152",0,1,291,1,5,1,"10eb4dc",14,1
"162",1,1,286,6,6,1,"10eb4dc",15,1
"172",0,1,287,1,6,1,"10eb4dc",16,1
"182",0,1,446,5,1,1,"10eb4dc",17,1
"192",1,1,459,5,5,1,"10eb4dc",18,1
"202",1,1,279,4,4,1,"10eb4dc",19,1
"213",1,1,504,1,1,1,"10eb4dc",20,1
"222",0,1,368,1,4,1,"10eb4dc",21,1
"232",1,1,413,5,5,1,"10eb4dc",22,1
"242",0,1,728,1,6,1,"10eb4dc",23,1
"252",1,1,455,4,4,1,"10eb4dc",24,1
"262",0,1,482,1,4,1,"10eb4dc",25,1
"272",1,1,516,1,1,1,"10eb4dc",26,1
"282",1,1,279,6,6,1,"10eb4dc",27,1
"292",0,1,570,5,1,1,"10eb4dc",28,1
"302",1,1,428,6,6,1,"10eb4dc",29,1
"313",0,1,374,4,1,1,"10eb4dc",30,1
"322",0,1,393,5,1,1,"10eb4dc",31,1
"332",0,1,327,1,6,1,"10eb4dc",32,1
"342",1,1,313,4,4,1,"10eb4dc",33,1
"352",1,1,398,5,5,1,"10eb4dc",34,1
"362",1,1,495,1,1,1,"10eb4dc",35,1
"372",1,1,274,5,5,1,"10eb4dc",36,1
"382",1,1,663,6,6,1,"10eb4dc",37,1
"392",0,1,457,1,6,1,"10eb4dc",38,1
"402",0,1,275,4,1,1,"10eb4dc",39,1
"413",1,1,317,4,4,1,"10eb4dc",40,1
"422",1,1,695,1,1,1,"10eb4dc",41,1
"432",0,1,250,5,1,1,"10eb4dc",42,1
"442",0,1,366,1,5,1,"10eb4dc",43,1
"452",1,1,295,5,5,1,"10eb4dc",44,1
"462",1,1,305,1,1,1,"10eb4dc",45,1
"472",1,1,317,4,4,1,"10eb4dc",46,1
"482",0,1,553,1,4,1,"10eb4dc",47,1
"492",1,1,483,6,6,1,"10eb4dc",48,1
"502",0,1,339,6,1,1,"10eb4dc",49,1
"513",0,1,500,6,1,1,"10eb4dc",50,1
"522",1,1,334,6,6,1,"10eb4dc",51,1
"532",1,1,520,4,4,1,"10eb4dc",52,1
"542",0,1,563,4,1,1,"10eb4dc",53,1
"552",0,1,492,1,5,1,"10eb4dc",54,1
"562",1,1,248,5,5,1,"10eb4dc",55,1
"572",1,1,377,1,1,1,"10eb4dc",56,1
"582",1,1,439,6,6,1,"10eb4dc",57,1
"592",1,1,80,4,4,1,"10eb4dc",58,1
"602",0,1,468,1,4,1,"10eb4dc",59,1
"613",1,1,453,1,1,1,"10eb4dc",60,1
"622",1,1,482,5,5,1,"10eb4dc",61,1
"632",0,1,427,6,1,1,"10eb4dc",62,1
"642",0,1,524,1,5,1,"10eb4dc",63,1
"652",0,1,277,6,1,1,"10eb4dc",64,1
"662",1,1,767,5,5,1,"10eb4dc",65,1
"672",0,1,361,4,1,1,"10eb4dc",66,1
"682",1,1,435,4,4,1,"10eb4dc",67,1
"692",1,1,263,1,1,1,"10eb4dc",68,1
"702",1,1,531,6,6,1,"10eb4dc",69,1
"712",0,1,405,1,5,1,"10eb4dc",70,1
"214",1,0,559,1,5,3,"1f6ed26",1,1
"314",0,1,311,1,4,3,"1f6ed26",2,1
"414",0,0,332,1,1,3,"1f6ed26",3,1
"514",1,1,157,4,4,3,"1f6ed26",4,1
"614",1,1,299,6,6,3,"1f6ed26",5,1
"74",1,0,264,1,6,3,"1f6ed26",6,1
"83",0,0,406,5,5,3,"1f6ed26",7,1
"93",1,1,92,5,5,3,"1f6ed26",8,1
"103",1,1,286,4,4,3,"1f6ed26",9,1
"113",0,1,257,1,4,3,"1f6ed26",10,1
"123",0,1,224,5,1,3,"1f6ed26",11,1
"133",1,1,142,6,6,3,"1f6ed26",12,1
"143",1,0,130,6,1,3,"1f6ed26",13,1
"153",1,1,147,1,1,3,"1f6ed26",14,1
"163",1,1,190,4,4,3,"1f6ed26",15,1
"173",0,1,640,1,5,3,"1f6ed26",16,1
"183",1,1,144,5,5,3,"1f6ed26",17,1
