"","Gender","Age","Ethnicity","Race","SubID"
"1","M",25,"NHL","W","10a57b8"
"2","M",26,"NHL","W","11368d9"
"3","M",30,"NHL","W","10eb4dc"
"4","M",21,"NHL","A","1f6ed26"
"5","F",20,"NHL","AA","1cf8384"
"6","M",32,"NHL","W","13f48f4"
"7","F",28,"NHL","W",""
"8","F",29,"NHL","W","101e034"
"9","M",19,"NHL","W","1c471fb"
"10","M",20,"NHL","A","171167a"
"11","F",30,"NHL","W","14294f4"
"12","M",29,"NHL","A","18393e3"
"13","M",29,"HL","M","13350ed"
"14","M",27,"NHL","W","1187bc1"
"15","F",19,"NHL","W","112f40b"
"16","M",30,"NA","NA","167a2c6"
"17","M",NA,"NHL","W","1d3c487"
"18","F",24,"NHL","O","166a21b"
"19","F",24,"NHL","W","11dfa14"
"20","M",26,"NHL","A","1d5d471"
"21","F",NA,"NHL","W","1003ca7"
"22","M",26,"NHL","A","1589721"
"23","F",27,"NHL","A","159b3ce"
"24","M",26,"NHL","A","109703d"
"25","F",29,"NHL","AI","7267deb"
"26","F",29,"NHL","AA","10b4792"
"27","NA",26,"NHL","W","7092299"
"28","M",33,"NHL","W","102b3b9"
"29","F",27,"NHL","W","28f22d4"
"30","F",22,"NHL","M","1ab5f8b"
"31","F",29,"NHL","W","19299c4"
"32","F",35,"NHL","W","f482b7d"
"33","F",27,"NHL","W","1ea37ce"
"34","M",25,"HL","A","1c7ee79"
"35","F",20,"NHL","AA","1327f4e"
"36","F",20,"NHL","A","1d27748"
"37","M",29,"NHL","W","104869a"
"38","F",34,"NHL","A","1a36cb9"
"39","M",28,"NHL","W","11d1ccc"
"40","M",24,"NHL","W","11d8b6b"
