"","Gender","Age","Ethnicity","Race","SubID"
"1","F",24,"NHL","W","3398109"
"2","F",23,"NHL","W","1bead2c"
"3","F",28,"NHL","W","16e3b90"
"4","F",28,"NHL","W","9e5f933"
"5","F",23,"NHL","W","0ba0b64"
"6","F",35,"HL","W","17e70a3"
"7","M",34,"NHL","W","18d3da3"
"8","F",28,"NHL","A","173d9d9"
"9","F",23,"NHL","W","1dc293a"
"10","F",34,"NHL","W","10573a7"
"11","F",18,"NHL","A","1c7653e"
"12","F",26,"NHL","A","18850a6"
"13","F",20,"NHL","W","1f9cd6e"
"14","F",34,"NHL","W","1e2bc3d"
"15","M",33,"NHL","W","1c2f97a"
