"","post_surve","prolificID","SubID","confirm_code"
"1","Ideterminedthecategoriesbasedontrialanderroraswellasvisualsimilarities","5bcc60b95c2b810001dc68e2","1dc68e2","6CixiGjn.txt"
"2","itwasreallydifficultandtough.Beacusethreeobjectswereshuffled.Itriedtoseetheedgesoftheeachobject,Probablythatiseasirewaytodecide.However,Timelimitalsocausestoanswerrapidlyandresultsinwronganswer.howeveritwasagoodstudyandadifferentone.","59d6bb5f03203500011ace14","11ace14","72ROsA1M.txt"
"3","iwentbasedonsizeandshapeoftherocksontherock","53a9a1a6fdf99b5cf1a36ee0","1a36ee0","b0MRP60J.txt"
"4","Mostlyfocusedonthesmallshapeatthetop(itssize,angles,etc)","5b0b8ae7d282ff00015b774e","15b774e","c7Zo9pVz.txt"
"5","theupperobject,wasitpyramidorno","5bbfd4471c53d00001695138","1695138","cEK6e0pf.txt"
"6","Lookingattheshapesatbottomhalfoftheblock.theobjectsfromcategory2usuallyhadmoreplanesandanglesonthem.","5b88b4a30c740e00019cbad3","19cbad3","E8rpZmy7.txt"
"7","usingtheuppershape,althoughitwasdifficulttodistinguish","5bc0b147628b3700014973e9","14973e9","EgSQTv23.txt"
"8","Itriedtolookatthetopformation,thehatlookingthingandhowwideitwas.IthinkImayhaveignoredthelowerformationstoomuch,ormyeyejustisnotasgoodasIdhopedbecauseIhadsometrouble.","5ba9700f3c7a05000199393d","199393d","IvLdKAv8.txt"
"9","IcouldNot","5bb65c9f952b0f0001d7bc04","1d7bc04","iWoSEnCZ.txt"
"10","triedtojudgebytheshapesontop","5bc50c8c4b33560001091793","1091793","LhxMYmcI.txt"
"11","memory/guessing","5b4f6da7bdd8af000144c7df","144c7df","mEzGwsHA.txt"
"12","Ihavenoidea.ItriedmanydifferentmethodsandIwasneverabletofigureoutwhatthetwocategorieswere.Iwishyouwouldtellme!","5a70a0abefd3a70001210477","1210477","OEtpZBG3.txt"
"13","Didn't","5bca0d5c4c9c1b000102741f","102741f","PprzRADa.txt"
"14","Positionandsizeofrocks","5784dc23160201000103f2a9","103f2a9","SDEm4sJO.txt"
