"","post_surve","prolificID","SubID","confirm_code"
"1","Bytheshapeofthelittlerocksonthemainobject","5b9aae40ca53b20001165ff9","1165ff9","88dv4JIn.txt"
"2","Triedtouseintuitionbutthecategoriesweresoarbitrary,Imostlyguessed.","59e833e72f63d30001c8fb86","1c8fb86","8DFCPpZE.txt"
"3","ThistimeItriedtodeterminethecategoriesbasedonyesterday'sstudyforthefirstrunandtheneachsubsequentrunforthenextrunsafteritassuch.IsuspectmymemoryisnotasgoodasitwaswhenIwasyoungeratage34!Ididnotseemtodoverygood.Thankyouforthisopportunity!","5bd52e85669ee1000144e2e5","144e2e5","9fcDX3qT.txt"
"4","8","5bc5c9cf14a68900013c88ec","13c88ec","AZhTu97K.txt"
"5","Lengthofthepolygons","5bd10022da11350001f7ae64","1f7ae64","BOrFqgjX.txt"
"6","Itriedtolookattheplacementofthethreerocklookingthings,butsometimesIgotfrustratedandjustguessed.","5984b35e6ab9880001b5a5a2","1b5a5a2","d0fBxUcj.txt"
"7","Sameasyesterday,Iwasmostlyguessing.Ineverfiguredoutthecategories","5bdc39c1311d4c0001c56a4e","1c56a4e","HMl9XC8H.txt"
"8","Itriedtocategorizebysimilarities,butthatdoesn'tseemtoalwayswork.I'mstillunsureifthereisabulletproofwaytocategorizealltheserocksinto2distinctgroups.It'sfrustratingbecausewhenyouthink2exampleslooksimilaroridentical,youoftengetincorrectinresponse.","5bc49db93de32d000133fe68","133fe68","IXB4Vdht.txt"
"9","triedtolookforpatternsinwhetherobjectsweretrendingasbeingpartofthegroupvsnot","5b00eb9ab98c410001ad6b08","1ad6b08","jMlU9YFS.txt"
"10","Theshapeandcolorvariations","59360314da541f000146f49f","146f49f","kAesj8md.txt"
"11","shapesize","58a96911ea3d11000170e50f","170e50f","S6LbMpV6.txt"
"12","Istillhadtroublefiguringitout","Itriedjudgingratiosorhowmanysidestheobjectstouched","osorhow","Xdh7DmW3.txt"
