"","post_surve","prolificID","SubID","confirm_code"
"1","Itriedtomemorizethembutitseemedliketheykeptchangingonpurpose","5589b65afdf99b118adfa595","adfa595","4pwLFF2X.txt"
"2","Whetherornotthesmallerthreeobjectsweresymmetricalandthesamesize","5ba7eeca79540900016008a6","16008a6","96spO1iF.txt"
"3","thesizesofthedarkshpaesineachlightgreysector","5baaa88cb3b5400001ce8744","1ce8744","9zJz5p2I.txt"
"4","Ireallytriedtopickuponpatternsintheshapesandthearrangementofthem,orwhatareastheywerecoveringofeachshapeandsideorthesizeoftheprotuberantbits.Idon'tfeelIdeterminedthecategoriesproperlybutIdidtrytofigureitout.IwouldgetontoapatternIwouldthinkwascorrectandthenitwouldendupwrong.IhaveADHDandanxietybutIdonotknowifthatwouldhaveaffectedmyeligibility.","5bac3c76a0b5980001f94c85","1f94c85","CdCzeuaG.txt"
"5","repeatingshapesinspecificcategories","5bc6bed7d2bea100010c9941","10c9941","eEnSAkkt.txt"
"6","Mostlybywhichsidethetoprockwason","5b6bdfaaa1fda800015fd473","15fd473","ewSgBzqq.txt"
"7","Iwaswatchingthesmallobjectonthelowerright.IfitwaslargerIsaiditwasa2Ifitwassmall,Isaiditwasa1Thisdidn'talwaysholdtrueandI'mnotsurewhattheactualdeterminingfactorwasthatmadeeachitema1ora2.","5b29773234ffd00001b4a3af","1b4a3af","HJ5FXHGj.txt"
"8","Ideterminedthecategorybythesizeofthethreeshapes.","5aee8da6223b450001883668","1883668","LbexnRTu.txt"
"9","Ilookedatthebottomrightjut.Ifitstayedonthecentersurfaceitwas1andifitwrappedaroundthelastrightedgeitwas2.","5a225b50a7788f000144aa92","144aa92","xDlb9xCy.txt"
"10","Thetophalfoftheobject.","5a99ed416475f900019fef88","19fef88","znaVZdAQ.txt"
