"","post_surve","prolificID","SubID","confirm_code"
"1","Iwasunabletoactuallylearnthedifferencesbetweenthetwocategories.Itriedtopayattentiontohowthelightaffectedthedifferentshapes,ifthesidetheshapesatthebottomstuckoutmattered,ifitwasbasedonshapeangles,etc.,butIwasunabletoreallytellanypatternbetweenthetwo?Wasitgroupsofshapes?Itriedtopayattentiontothoseaswell,butthereseemedtobesomanyvariationsandsubtledifferencesthatIcouldn'tfigureitout.","55a56724fdf99b7973398109","3398109","5bbya3tO.txt"
"2","Icouldn't,Itriedexaminingmanyfactorsbutnothingseemedconsistent","5baa73b4c4d93b0001bead2c","1bead2c","5jY4oGVG.txt"
"3","itwasreallyhard.ilookedatthebumps","5a7fe5c3eea3d300016e3b90","16e3b90","8smnMBRP.txt"
"4","Iwentbasedoffhowthepieceslooked","556b6731fdf99b32b9e5f933","9e5f933","DcKz9W5A.txt"
"5","Itriedmybesttomemorizepatterns","55885869fdf99b4020ba0b64","0ba0b64","DuQsBnCf.txt"
"6","Triedshapeandsize","58c6c669094b5000017e70a3","17e70a3","fzFYbMlS.txt"
"7","theshapes","57850499eeaf6d00018d3da3","18d3da3","GMSMOdKG.txt"
"8","Similarityofthefirsttwocategoryruns","5bdcd61518f1b9000173d9d9","173d9d9","KPqDvdAa.txt"
"9","Itriedtolookattheshapeoftheobjectsbuti'munsureiwascorrect","5ba131edc009cf0001dc293a","1dc293a","LPWnPsYy.txt"
"10","HonestlyI'mstillconfused.Triedcomparingshapes,sizes,points,shading,positions.","5ba03407f0741400010573a7","10573a7","lZ4CsNES.txt"
"11","memory","5b2a091e7297750001c7653e","1c7653e","me5v64ra.txt"
"12","shapeandsizeontop","5bc207f0dbfc8100018850a6","18850a6","NL8VwZHt.txt"
"13","ItriedtorememberwhichonesIsawineachcategoryjudgingbythedarkgreyshapes","5b76f518a45af80001f9cd6e","1f9cd6e","tIaeSJgP.txt"
"14","Memorywhichwasntanygood","5a39c40228a4040001e2bc3d","1e2bc3d","v7OG0wO8.txt"
"15","Istilldonotknowthecategoriesoftheobjects.Itriedtolookfordifferencesinshape,structure,orcolor,andcouldnotseeany.AtthispointItriedtolookforspecificpositionsandmemorizewhichgrouptheyareinasIgo,butsomeweresosubtlydifferentfromothersitwasnearlyimpossible.","5a6b998a3fb6420001c2f97a","1c2f97a","xXMcjlSc.txt"
